Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
AUSOMENT.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,22.43880653,20.58081818,5000,-414.0122949,-8.280245898,Stop Loss,-414.0122949,99585.98771
HUBTOWN.NS,2016-04-26 00:00:00+05:30,2016-04-28 00:00:00+05:30,109.5999985,105,5000,-209.8539479,-4.197078958,Stop Loss,-623.8662428,99376.13376
THANGAMAYL.NS,2016-04-26 00:00:00+05:30,2016-04-29 00:00:00+05:30,95.50769806,89.03761292,5000,-338.7206097,-6.774412195,Stop Loss,-962.5868525,99037.41315
MANAKCOAT.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,3.930743456,3.681962252,4937.613376,-312.5071416,-6.329113233,Stop Loss,-1275.093994,98724.90601
SHREERAMA.NS,2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,5.244122028,4.981915951,4937.613376,-246.8806463,-4.999999545,Stop Loss,-1521.97464,98478.02536
SESHAPAPER.NS,2016-04-26 00:00:00+05:30,2016-05-02 00:00:00+05:30,41.99236679,40.22784424,5000,-210.1003929,-4.202007858,Stop Loss,-1732.075033,98267.92497
JMA.NS,2016-04-29 00:00:00+05:30,2016-05-02 00:00:00+05:30,28.56776619,27.77422142,4844.755401,-134.5758111,-2.777762755,UT Sell,-1866.650844,98133.34916
SOLARINDS.NS,2016-05-02 00:00:00+05:30,2016-05-03 00:00:00+05:30,664.3016968,650.039978,4821.07645,-103.5024248,-2.14687375,UT Sell,-1970.153269,98029.84673
UNITEDTEA.NS,2016-05-02 00:00:00+05:30,2016-05-03 00:00:00+05:30,478.4470215,457.4528809,4821.07645,-211.5476791,-4.387976031,Stop Loss,-2181.700948,97818.29905
CGCL.NS,2016-04-28 00:00:00+05:30,2016-05-04 00:00:00+05:30,26.15576744,24.6359539,4937.613376,-286.9061926,-5.810624907,Stop Loss,-2468.607141,97531.39286
GMRAIRPORT.NS,2016-04-29 00:00:00+05:30,2016-05-04 00:00:00+05:30,11.35169888,10.72104931,4844.755401,-269.1529195,-5.555552288,Stop Loss,-2737.760061,97262.23994
VEDL.NS,2016-05-02 00:00:00+05:30,2016-05-04 00:00:00+05:30,36.75721741,34.74835968,4821.07645,-263.4817694,-5.465206206,Stop Loss,-3001.24183,96998.75817
POONAWALLA.NS,2016-05-02 00:00:00+05:30,2016-05-04 00:00:00+05:30,92.62359619,90.02666473,4821.07645,-135.1707946,-2.803747171,UT Sell,-3136.412624,96863.58738
SASTASUNDR.NS,2016-05-04 00:00:00+05:30,2016-05-05 00:00:00+05:30,80.09999847,76.84999847,4617.4525,-187.3498241,-4.057428292,Stop Loss,-3323.762449,96676.23755
INDRAMEDCO.NS,2016-05-04 00:00:00+05:30,2016-05-06 00:00:00+05:30,46.56990814,44.42550659,4617.4525,-212.6195368,-4.604693537,Stop Loss,-3536.381985,96463.61801
WABAG.NS,2016-05-02 00:00:00+05:30,2016-05-06 00:00:00+05:30,574.098877,548.4815674,4821.07645,-215.1249773,-4.462177266,Stop Loss,-3751.506963,96248.49304
GABRIEL.NS,2016-05-03 00:00:00+05:30,2016-05-06 00:00:00+05:30,84.02787781,80.0587616,4663.551398,-220.2861472,-4.723570694,Stop Loss,-3971.79311,96028.20689
GOKULAGRO.NS,2016-05-06 00:00:00+05:30,2016-05-09 00:00:00+05:30,6.363330841,6.089907169,4484.683229,-192.7007389,-4.296863994,Stop Loss,-4164.493849,95835.50615
MANAKSIA.NS,2016-05-06 00:00:00+05:30,2016-05-09 00:00:00+05:30,26.34025574,25.23617554,4484.683229,-187.9803297,-4.191607747,Stop Loss,-4352.474179,95647.52582
