Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
JMA.NS,2016-04-29 00:00:00+05:30,2016-05-02 00:00:00+05:30,28.567764282226562,27.77421760559082,5000.0,-138.88848087588212,-2.7777696175176225,UT Sell,-138.88848087588212,99861.11151912411
GABRIEL.NS,2016-05-03 00:00:00+05:30,2016-05-06 00:00:00+05:30,84.02787780761719,80.05874633789062,4986.111151912412,-235.5233905814066,-4.723588853230276,UT Sell,-374.4118714572887,99625.58812854272
CENTURYPLY.NS,2016-04-26 00:00:00+05:30,2016-05-10 00:00:00+05:30,179.08204650878906,177.3852996826172,5000.0,-47.37344863011094,-0.9474689726022278,UT Sell,-421.78532008739967,99578.2146799126
INVENTURE.NS,2016-05-02 00:00:00+05:30,2016-05-11 00:00:00+05:30,1.5747864246368408,1.6041302680969238,4986.1111519124115,92.90889407433951,1.863353849195759,UT Sell,-328.87642601306015,99671.12357398694
AUSOMENT.NS,2016-04-26 00:00:00+05:30,2016-05-13 00:00:00+05:30,22.438804626464844,21.247787475585938,5000.0,-265.39229043293017,-5.307845808658596,UT Sell,-594.2687164459903,99405.731283554
GMRAIRPORT.NS,2016-04-29 00:00:00+05:30,2016-05-13 00:00:00+05:30,11.351698875427246,10.495816230773926,5000.0,-376.9843853531165,-7.539687707062326,UT Sell,-971.2531017991068,99028.74689820089
BSOFT.NS,2016-04-28 00:00:00+05:30,2016-05-16 00:00:00+05:30,84.4136734008789,84.62332916259766,5000.0,12.418353169106922,0.24836706338213776,UT Sell,-958.8347486299999,99041.16525137
BLBLIMITED.NS,2016-05-12 00:00:00+05:30,2016-05-17 00:00:00+05:30,3.299999952316284,3.0999999046325684,5079.020045986751,-307.81947456420403,-6.060607593140565,UT Sell,-1266.654223194204,98733.3457768058
DCBBANK.NS,2016-05-13 00:00:00+05:30,2016-05-19 00:00:00+05:30,89.5504379272461,85.42609405517578,4678.811662106977,-215.48781506640535,-4.605609941763856,UT Sell,-1482.1420382606093,98517.85796173938
JBCHEPHARM.NS,2016-05-10 00:00:00+05:30,2016-05-19 00:00:00+05:30,113.46734619140625,116.37271118164062,4952.626551369889,126.81346902907535,2.560529604114792,UT Sell,-1355.328569231534,98644.67143076846
HUBTOWN.NS,2016-04-26 00:00:00+05:30,2016-05-19 00:00:00+05:30,109.5999984741211,99.30000305175781,5000.0,-469.89030865704535,-9.3978061731409,UT Sell,-1825.2188778885793,98174.78112211142
INDRAMEDCO.NS,2016-05-04 00:00:00+05:30,2016-05-19 00:00:00+05:30,46.56991195678711,43.8995246887207,4986.111151912412,-285.9109493182177,-5.734147126033429,UT Sell,-2111.129827206797,97888.8701727932
DHAMPURSUG.NS,2016-05-05 00:00:00+05:30,2016-05-20 00:00:00+05:30,74.19290924072266,71.70043182373047,4986.1111519124115,-167.50616159870606,-3.3594550240713894,UT Sell,-2278.635988805503,97721.3640111945
JMA.NS,2016-05-16 00:00:00+05:30,2016-05-24 00:00:00+05:30,28.885189056396484,27.61550521850586,5012.418353169107,-220.32698347029964,-4.395622391155718,UT Sell,-2498.9629722758027,97501.0370277242
BALRAMCHIN.NS,2016-04-29 00:00:00+05:30,2016-05-24 00:00:00+05:30,93.61839294433594,90.51525115966797,5000.0,-165.73355336878376,-3.314671067375674,UT Sell,-2664.6965256445865,97335.30347435542
AVANTIFEED.NS,2016-05-05 00:00:00+05:30,2016-05-24 00:00:00+05:30,138.47317504882812,133.71307373046875,4986.111151912412,-171.40066485321495,-3.437562052492027,UT Sell,-2836.0971904978014,97163.9028095022
AUSOMENT.NS,2016-05-20 00:00:00+05:30,2016-05-24 00:00:00+05:30,21.86711883544922,20.819021224975586,4724.602577836555,-226.45162856299703,-4.7930302037529575,UT Sell,-3062.5488190607985,96937.4511809392
BASML.NS,2016-05-02 00:00:00+05:30,2016-05-25 00:00:00+05:30,69.68594360351562,67.37908172607422,4986.111151912412,-165.05867809547544,-3.310369004352587,UT Sell,-3227.607497156274,96772.39250284372
ASAL.NS,2016-04-26 00:00:00+05:30,2016-05-25 00:00:00+05:30,38.04999923706055,38.29999923706055,5000.0,32.85151182821846,0.6570302365643599,UT Sell,-3194.7559853280554,96805.24401467195
INDNIPPON.NS,2016-04-27 00:00:00+05:30,2016-05-26 00:00:00+05:30,168.4317626953125,167.3018798828125,5000.0,-33.541263073519076,-0.6708252614703758,UT Sell,-3228.2972484015745,96771.70275159842
GENUSPOWER.NS,2016-05-05 00:00:00+05:30,2016-05-26 00:00:00+05:30,52.35691833496094,43.761695861816406,4986.111151912412,-818.5496012643825,-16.416593540046332,UT Sell,-4046.846849665957,95953.15315033404
CGCL.NS,2016-04-28 00:00:00+05:30,2016-05-31 00:00:00+05:30,26.1557674407959,24.96430778503418,5000.0,-227.76232019546205,-4.555246403909241,UT Sell,-4274.609169861419,95725.39083013858
EKC.NS,2016-05-24 00:00:00+05:30,2016-05-31 00:00:00+05:30,16.180362701416016,15.104930877685547,4734.804813165694,-314.6999773240532,-6.646524825035927,UT Sell,-4589.309147185472,95410.69085281453
CUBEXTUB.NS,2016-05-20 00:00:00+05:30,2016-06-03 00:00:00+05:30,9.649999618530273,11.149999618530273,4724.602577836555,734.3942121144037,15.544042065241603,UT Sell,-3854.9149350710686,96145.08506492894
CANBK.NS,2016-05-25 00:00:00+05:30,2016-06-03 00:00:00+05:30,32.791725158691406,32.60517120361328,4926.951992822578,-28.02970494211695,-0.5689055826594069,UT Sell,-3882.9446400131856,96117.05535998681
ADANIENT.NS,2016-05-26 00:00:00+05:30,2016-06-03 00:00:00+05:30,39.55224609375,38.45801544189453,4567.010143787255,-126.3483867596724,-2.766544911916846,UT Sell,-4009.293026772858,95990.70697322715
GARFIBRES.NS,2016-05-25 00:00:00+05:30,2016-06-06 00:00:00+05:30,65.9209213256836,65.43856811523438,4926.951992822578,-36.051242362433186,-0.7317149104548171,UT Sell,-4045.344269135291,95954.6557308647
DWARKESH.NS,2016-05-24 00:00:00+05:30,2016-06-16 00:00:00+05:30,14.583196640014648,17.417583465576172,4734.804813165694,920.2556006972045,19.43597755367492,UT Sell,-3125.0886684380866,96874.91133156192
IIFL.NS,2016-06-03 00:00:00+05:30,2016-06-17 00:00:00+05:30,107.3729019165039,98.34796142578125,4932.8602782863345,-414.6183037429946,-8.405231049581484,UT Sell,-3539.7069721810813,96460.29302781892
GOKUL.NS,2016-05-20 00:00:00+05:30,2016-06-21 00:00:00+05:30,12.850000381469727,16.299999237060547,4724.602577836555,1268.47260721974,26.848239324302845,UT Sell,-2271.2343649613413,97728.76563503865
BALAXI.NS,2016-05-26 00:00:00+05:30,2016-06-21 00:00:00+05:30,3.0956239700317383,4.593506336212158,4567.010143787255,2209.843322952399,48.387090314624444,UT Sell,-61.39104200894235,99938.60895799106
CAPLIPOINT.NS,2016-05-13 00:00:00+05:30,2016-06-22 00:00:00+05:30,199.7459259033203,182.9573974609375,4678.811662106977,-393.25138828541003,-8.404941610928617,UT Sell,-454.6424302943524,99545.35756970565
FILATEX.NS,2016-06-03 00:00:00+05:30,2016-06-22 00:00:00+05:30,6.662471294403076,6.716517925262451,4932.860278286334,40.01585399180385,0.8112099620568358,UT Sell,-414.62657630254853,99585.37342369746
