Entry_Date,Exit_Date,BTC_Entry,K1_Long,K2_Short,Breakeven,BTC_Expiry,Move_%,HV30,RSI14,Cycle_Pct,Ret_4W_%,Debit_USD,Debit_%BTC,Units,PnL_USD,Return_%,Win,S1_Regime,S2_Cycle,S3_MACD,S4_Vol,S5_Mom,Year
2020-07-18,2020-08-17,9159.0,9000,10500,9368.0,12254.0,33.8,0.2609,51.3,0.454,-1.86,368.34,4.022,0.8145,921.71,307.24,True,1,1,1,1,0,2020
2020-08-18,2020-09-17,11991.0,12000,14000,12582.0,10949.0,-8.69,0.5364,64.1,0.603,27.91,582.49,4.858,0.515,-300.0,-100.0,False,1,1,1,1,1,2020
2020-09-18,2020-10-18,10945.0,11000,12500,11461.0,11483.0,4.92,0.5253,61.4,0.547,-5.59,460.86,4.211,0.651,14.64,4.88,True,1,1,1,1,0,2020
2020-10-19,2020-11-18,11742.0,11500,13500,12060.0,17804.0,51.63,0.335,74.6,0.589,12.23,560.42,4.773,0.5353,770.62,256.87,True,1,1,1,1,1,2020
2021-09-10,2021-10-10,44884.0,45000,51500,47156.0,54772.0,22.03,0.6903,37.0,0.691,-6.09,2156.02,4.804,0.1391,604.44,201.48,True,1,1,1,1,0,2021
2022-04-03,2022-05-03,46454.0,46500,53500,48639.0,37750.0,-18.74,0.5378,75.5,0.672,20.91,2138.74,4.604,0.1403,-300.0,-100.0,False,1,1,1,1,0,2022
2022-08-14,2022-09-13,24319.0,24500,28000,25550.0,20297.0,-16.54,0.5441,60.8,0.328,17.04,1050.01,4.318,0.2857,-300.0,-100.0,False,1,1,1,1,1,2022
2023-03-17,2023-04-16,27424.0,27500,31500,28810.0,30315.0,10.54,0.665,74.5,0.369,11.64,1309.86,4.776,0.229,344.81,114.94,True,1,1,1,1,1,2023
2023-04-17,2023-05-17,29445.0,29500,34000,30667.0,27399.0,-6.95,0.3906,68.7,0.391,6.04,1166.95,3.963,0.2571,-300.0,-100.0,False,1,1,1,1,1,2023
2023-05-18,2023-06-17,26832.0,27000,31000,28010.0,26511.0,-1.2,0.3913,29.6,0.349,-5.01,1010.12,3.765,0.297,-300.0,-100.0,False,1,1,1,1,0,2023
2023-07-02,2023-08-01,30621.0,30500,35000,31868.0,29676.0,-3.09,0.4685,82.6,0.41,12.91,1368.42,4.469,0.2192,-300.0,-100.0,False,1,1,1,1,0,2023
2023-08-02,2023-09-01,29152.0,29000,33500,29968.0,25801.0,-11.5,0.2581,37.9,0.386,-4.46,967.69,3.319,0.31,-300.0,-100.0,False,1,1,1,1,0,2023
2023-10-29,2023-11-28,34538.0,34500,39500,35966.0,37831.0,9.53,0.4443,91.2,0.472,23.42,1465.9,4.244,0.2047,381.71,127.24,True,1,1,1,1,0,2023
2023-11-29,2023-12-29,37858.0,38000,43500,39507.0,42099.0,11.2,0.4225,49.9,0.525,6.83,1507.33,3.981,0.199,515.9,171.97,True,1,1,1,1,0,2023
2023-12-30,2024-01-29,42157.0,42000,48500,43898.0,43288.0,2.68,0.4532,49.5,0.594,6.79,1898.15,4.503,0.158,-96.39,-32.13,False,1,1,1,1,0,2023
2024-02-03,2024-03-04,42992.0,43000,49500,44934.0,68330.0,58.94,0.4971,58.4,0.607,-2.27,1934.38,4.499,0.1551,708.08,236.03,True,1,1,1,1,0,2024
2026-04-19,2026-05-19,73856.0,74000,85000,77060.0,76751.0,3.92,0.4338,63.2,0.533,8.86,3060.38,4.144,0.098,-30.34,-10.11,False,1,1,1,1,1,2026
2026-05-20,2026-06-19,77458.0,77500,89000,79821.0,63541.0,-17.97,0.2555,35.0,0.566,-0.95,2321.29,2.997,0.1292,-300.0,-100.0,False,1,1,1,1,0,2026
