Ticker,Entry Date,Exit Date,S_entry,K1_Long,K2_Short,HV,IV_Rank,Debit/unit,Units,Total Debit,S_expiry,Breakeven,PnL/unit,PnL Total,Return %,Win,Score,Sig1_CheapVol,Sig2_Trend,Sig3_RSI,Sig4_Volume,Sig5_ATR,Capital_After
20MICRONS.NS,2023-09-06,2023-10-09,130.9,130,135,0.3396,,2.25,887,1999.92,152.0,132.25,2.75,2435.08,121.76,True,3,0,1,0,1,1,102435.08
20MICRONS.NS,2023-09-07,2023-10-10,126.03,125,130,0.3761,,2.27,903,2047.62,149.0,127.27,2.73,2467.38,120.5,True,3,0,1,0,1,1,104902.45
20MICRONS.NS,2023-09-08,2023-10-11,122.19,120,130,0.3953,,4.17,502,2094.36,146.05,124.17,5.83,2925.64,139.69,True,3,0,1,0,1,1,107828.09
20MICRONS.NS,2023-09-12,2023-10-13,117.23,115,125,0.4325,,4.18,516,2156.48,140.44,119.18,5.82,3003.52,139.28,True,3,0,1,0,1,1,110831.61
20MICRONS.NS,2023-11-15,2023-12-15,158.01,160,165,0.2667,,1.84,1205,2216.21,175.96,161.84,3.16,3808.79,171.86,True,3,0,1,0,1,1,114640.4
20MICRONS.NS,2023-11-17,2023-12-19,168.43,170,175,0.2841,,1.96,1166,2291.02,176.45,171.96,3.04,3538.98,154.47,True,3,0,1,0,1,1,118179.38
20MICRONS.NS,2023-11-21,2023-12-21,166.07,165,175,0.2757,,3.95,597,2360.49,167.75,168.95,-1.21,-721.21,-30.55,False,3,0,1,0,1,1,117458.17
20MICRONS.NS,2023-11-23,2023-12-26,175.81,175,185,0.2727,,3.94,596,2345.68,185.9,178.94,6.06,3614.32,154.08,True,3,0,1,0,1,1,121072.49
20MICRONS.NS,2023-11-24,2023-12-27,179.55,180,190,0.2731,,3.63,666,2420.05,183.04,183.63,-0.59,-392.29,-16.21,False,3,0,1,0,1,1,120680.2
20MICRONS.NS,2023-11-28,2023-12-28,175.47,175,185,0.3042,,3.92,615,2410.75,176.45,178.92,-2.47,-1517.2,-62.93,False,3,0,1,0,1,1,119163.0
20MICRONS.NS,2023-11-29,2023-12-29,180.83,180,190,0.3094,,4.05,589,2382.69,173.35,184.05,-4.05,-2382.69,-100.0,False,3,0,1,0,1,1,116780.31
20MICRONS.NS,2023-12-08,2024-01-09,179.85,180,190,0.4608,,4.04,577,2332.33,172.37,184.04,-4.04,-2332.33,-100.0,False,3,0,1,0,1,1,114447.98
20MICRONS.NS,2023-12-11,2024-01-10,186.44,185,195,0.4703,,4.32,530,2287.93,172.22,189.32,-4.32,-2287.93,-100.0,False,3,0,1,0,1,1,112160.05
20MICRONS.NS,2023-12-22,2024-01-24,186.39,185,195,0.6495,,4.32,519,2240.32,164.2,189.32,-4.32,-2240.32,-100.0,False,3,0,1,0,1,1,109919.73
20MICRONS.NS,2023-12-26,2024-01-25,185.9,185,195,0.6462,,4.26,515,2194.64,172.76,189.26,-4.26,-2194.64,-100.0,False,3,0,1,0,1,1,107725.09
20MICRONS.NS,2024-01-25,2024-02-26,172.76,175,180,0.4217,,2.02,1068,2153.8,147.23,177.02,-2.02,-2153.8,-100.0,False,3,0,1,1,1,0,105571.28
20MICRONS.NS,2024-03-06,2024-04-09,154.91,155,165,0.4891,,3.96,533,2108.23,150.97,158.96,-3.96,-2108.23,-100.0,False,3,0,0,1,1,1,103463.06
20MICRONS.NS,2024-04-29,2024-05-30,169.86,170,180,0.3952,,3.92,527,2066.07,173.94,173.92,0.02,12.46,0.6,True,3,0,1,0,1,1,103475.52
20MICRONS.NS,2024-04-30,2024-05-31,168.98,170,175,0.3983,,2.11,980,2069.22,171.34,172.11,-0.77,-759.06,-36.68,False,3,0,1,0,1,1,102716.46
20MICRONS.NS,2024-06-21,2024-07-23,210.32,210,220,0.721,,4.25,483,2052.92,216.46,214.25,2.21,1066.56,51.95,True,3,0,1,0,1,1,103783.02
20MICRONS.NS,2024-06-24,2024-07-24,216.81,215,230,0.7164,,6.27,330,2069.67,220.32,221.27,-0.95,-314.96,-15.22,False,3,0,1,0,1,1,103468.07
20MICRONS.NS,2024-06-27,2024-07-29,219.55,220,230,0.7318,,4.2,492,2067.33,274.96,224.2,5.8,2852.67,137.99,True,3,0,1,0,1,1,106320.73
20MICRONS.NS,2024-07-23,2024-08-22,216.46,215,225,0.4418,,4.39,484,2124.26,331.76,219.39,5.61,2715.74,127.84,True,4,0,1,1,1,1,109036.47
