Ticker,Entry Date,Exit Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,HV,RSI_entry,Debit/unit,Debit_pct_S,Units,Total_Debit,PnL/unit,PnL_Total,Return_%,Win,Sig1_Breakout,Sig2_Trend,Sig3_RSI,Sig4_Volume,Sig5_Regime,Capital_After
ADROITINFO.NS,2022-09-20,2022-10-20,13.41,15,20,15.15,10.94,0.395,64.3,0.15,1.103,12959,1915.73,-0.15,-1915.73,-100.0,False,1,1,1,1,1,93874.01
ALKALI.NS,2022-10-20,2022-11-22,138.11,140,145,142.03,111.62,0.9979,79.0,2.03,1.468,907,1839.01,-2.03,-1839.01,-100.0,False,1,1,1,1,1,90119.24
ABCAPITAL.NS,2022-11-29,2022-12-28,144.1,145,150,147.02,147.6,0.3222,72.4,2.02,1.4,952,1920.22,0.58,554.99,28.9,True,1,1,1,1,1,96596.48
ANANTRAJ.NS,2023-04-05,2023-05-09,132.55,135,140,136.92,140.11,0.4985,74.2,1.92,1.449,966,1854.82,3.08,2975.18,160.4,True,1,1,1,1,1,95787.64
ANANDRATHI.NS,2023-04-13,2023-05-16,208.15,210,220,212.97,205.41,0.1808,76.5,2.97,1.428,606,1801.27,-2.97,-1801.27,-100.0,False,1,1,1,1,1,88317.97
ABINFRA.NS,2023-05-29,2023-06-27,3.39,5,10,5.0,3.07,0.3081,65.8,0.0,0.0,3595713825,2062.6,-0.0,-2062.6,-100.0,False,1,1,1,1,1,101067.49
ABCAPITAL.NS,2023-06-13,2023-07-13,177.65,180,185,181.7,187.45,0.196,75.2,1.7,0.957,1136,1930.49,3.3,3749.51,194.23,True,1,1,1,1,1,100345.98
ANANDRATHI.NS,2023-07-05,2023-08-03,222.84,225,235,227.82,304.65,0.1601,75.3,2.82,1.266,626,1765.52,7.18,4494.48,254.57,True,1,1,1,1,1,92812.46
ADVANIHOTR.NS,2023-07-11,2023-08-09,42.53,45,50,45.36,41.34,0.2312,65.3,0.36,0.837,5273,1877.46,-0.36,-1877.46,-100.0,False,1,1,1,1,1,91996.55
ANANTRAJ.NS,2023-07-18,2023-08-17,192.54,195,200,197.01,199.67,0.3683,69.3,2.01,1.044,952,1914.07,2.66,2531.46,132.26,True,1,1,1,1,1,98319.1
AARON.NS,2023-08-17,2023-09-15,128.33,130,135,131.72,126.7,0.2563,73.6,1.72,1.343,1136,1958.52,-1.72,-1958.52,-100.0,False,1,1,1,1,1,96041.49
AIROLAM.NS,2023-11-20,2023-12-20,137.8,140,145,141.89,122.0,0.3939,79.9,1.89,1.373,971,1836.94,-1.89,-1836.94,-100.0,False,1,1,1,1,1,90052.96
ANANTRAJ.NS,2023-11-30,2024-01-01,267.64,270,280,273.61,297.56,0.2364,75.9,3.61,1.349,544,1964.31,6.39,3475.69,176.94,True,1,1,1,1,1,101794.79
ABINFRA.NS,2023-12-27,2024-01-29,4.3,5,10,5.06,4.04,0.5231,63.6,0.06,1.412,33298,2021.31,-0.06,-2021.31,-100.0,False,1,1,1,1,1,99046.18
AIROLAM.NS,2024-01-03,2024-02-05,142.8,145,150,146.9,151.4,0.3832,72.9,1.9,1.331,947,1800.56,3.1,2934.44,162.97,True,1,1,1,1,1,92987.4
ABCOTS.NS,2024-01-23,2024-02-22,144.0,145,150,147.09,361.5,0.5172,60.5,2.09,1.454,958,2005.89,2.91,2784.11,138.8,True,1,1,1,1,1,103130.09
ADFFOODS.NS,2024-09-12,2024-10-14,288.05,290,300,294.2,301.1,0.5512,72.3,4.2,1.459,443,1861.76,5.8,2568.24,137.95,True,1,1,1,1,1,95789.74
AAATECH.NS,2024-09-18,2024-10-18,143.41,145,150,147.06,129.14,0.5974,78.2,2.06,1.435,972,1999.99,-2.06,-1999.99,-100.0,False,1,1,1,1,1,98000.01
ABINFRA.NS,2024-09-23,2024-10-23,7.85,10,15,10.0,8.29,0.3753,72.3,0.0,0.058,433656,1980.92,-0.0,-1980.92,-100.0,False,1,1,1,1,1,97065.25
AEROENTER.NS,2024-10-11,2024-11-11,144.28,145,150,147.13,114.65,0.6429,65.8,2.13,1.474,865,1839.57,-2.13,-1839.57,-100.0,False,1,1,1,1,1,90156.98
AJMERA.NS,2024-10-18,2024-11-19,172.92,175,180,177.09,178.03,0.7105,74.0,2.09,1.206,891,1858.14,0.95,845.78,45.52,True,1,1,1,1,1,93833.18
AJMERA.NS,2024-10-21,2024-11-21,178.14,180,185,182.1,176.26,0.712,75.9,2.1,1.181,891,1874.93,-2.1,-1874.93,-100.0,False,1,1,1,1,1,91958.25
ABINFRA.NS,2024-12-02,2025-01-01,9.02,10,15,10.05,8.86,0.3026,65.9,0.05,0.597,36026,1941.29,-0.05,-1941.29,-100.0,False,1,1,1,1,1,95123.97
ABINFRA.NS,2025-08-11,2025-09-11,19.02,20,25,20.18,19.8,0.2265,74.2,0.18,0.962,10395,1902.47,-0.18,-1902.47,-100.0,False,1,1,1,1,1,93221.5
AGIIL.NS,2025-09-24,2025-10-27,247.52,250,260,253.33,263.6,0.2107,72.6,3.33,1.346,541,1802.77,6.67,3607.23,200.09,True,1,1,1,1,1,93764.21
AGIIL.NS,2025-10-10,2025-11-12,287.9,290,300,294.2,254.25,0.7487,69.0,4.2,1.46,446,1874.3,-4.2,-1874.3,-100.0,False,1,1,1,1,1,91889.91
