Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,HV,RSI,Debit/unit,Debit_pct,Units,PnL/unit,PnL_Total,Return_%,Win,M1_Breakout,M2_Regime,F1_RSI,F2_Volume,F3_Trend,FlexScore,Capital
ABINFRA.NS,2022-07-22,2022-09-09,1.09,5,10,5.0,1.34,0.3257,,0.0,0.0,77870861839526787797364107762631623164135615398799939878243688062231820060263702573788184513078047578317780447920128,-0.0,-2.757369718524839e+74,-100.0,False,1,1,0,1,1,2,1.3511111620771713e+76
ARCHIDPLY.NS,2022-07-27,2022-09-14,70.35,70,75,72.06,93.55,0.7754,81.1,2.06,2.923,55614028285937386545916013262716021461495449126527464849113108740741743509504,2.94,1.6372755879726567e+77,143.19,True,1,1,0,1,1,2,5.880856690418328e+78
ATGL.NS,2022-07-27,2022-09-14,2956.05,2955,3045,2995.52,3559.52,0.3617,78.4,40.52,1.371,10954311147004504742160106765143713364180186660311797413214141130412721700864,49.48,5.420592892676051e+77,122.13,True,1,1,1,0,1,2,2.2733494987407622e+79
ABINFRA.NS,2022-07-28,2022-09-15,1.2,5,10,5.0,1.27,0.3613,,0.0,0.0,560269922563651974520287286632563802793528116021325257074953619452692086848873639815892966881581567311872,-0.0,-2.7022223241543425e+74,-100.0,False,1,1,0,1,1,2,1.3240889388356279e+76
ATGL.NS,2022-07-28,2022-09-15,3001.78,3000,3090,3040.65,3596.42,0.361,78.1,40.65,1.354,11186024101259094194778255691903117649531771726436222347164632361880942280704,49.35,5.52072269365166e+77,121.42,True,1,1,1,0,1,2,2.3285567256772787e+79
APARINDS.NS,2022-07-29,2022-09-16,1084.54,1085,1115,1098.32,1241.67,0.5799,65.9,13.32,1.228,1492366009541539228790748206298104164333851215228462589317365148256466632704,16.68,2.489080437123853e+76,125.2,True,1,1,1,1,1,3,1.0188996001216207e+78
ATGL.NS,2022-07-29,2022-09-16,3122.92,3125,3215,3165.45,3523.97,0.3707,76.6,40.45,1.295,11513823716632639754469809923751529370373607328638315776726416972609971290112,49.55,5.705327893614818e+77,122.51,True,1,1,1,0,1,2,2.385610004613427e+79
20MICRONS.NS,2022-08-01,2022-09-19,101.34,100,105,102.19,104.42,0.764,81.8,2.19,2.163,912,2.22,2028.99,101.5,True,1,1,0,1,1,2,102028.99
AIAENG.NS,2022-08-01,2022-09-19,2434.5,2435,2510,2468.6,2538.54,0.3404,62.6,33.6,1.38,31940873310533310842809790506973933376030629728634690244645804763177287680,41.4,1.3223802989160163e+75,123.22,True,1,1,1,0,1,2,5.498164026761512e+76
APARINDS.NS,2022-08-01,2022-09-19,1184.74,1185,1220,1200.41,1245.33,0.6272,72.7,15.41,1.301,1322113938155623990485296768088495906473395024596917601766618145401302155264,19.59,2.5895995833014423e+76,127.08,True,1,1,1,1,1,3,1.0447955959546352e+78
ANDHRAPAP.NS,2022-08-01,2022-09-19,70.67,70,75,72.11,83.15,0.4126,79.8,2.11,2.98,7058074442471872904171223883651500238959569768553306122289425985294628290560,2.89,2.0423787688181307e+76,137.38,True,1,1,1,1,1,3,7.637530138970841e+77
ATGL.NS,2022-08-01,2022-09-19,3213.24,3215,3310,3257.62,3615.09,0.3723,76.9,42.62,1.326,11193990577458283145457398926174343069375691059539696818740022054252661702656,52.38,5.863071039358515e+77,122.88,True,1,1,1,0,1,2,2.4442407150070118e+79
ASHOKLEY.NS,2022-08-01,2022-09-19,70.16,70,75,71.85,73.39,0.2399,73.8,1.85,2.635,167585630244697968186952740904818389052226441479864184177762018365616703930368,1.54,2.584876565066893e+77,83.44,True,1,1,1,1,1,3,1.5747663362375486e+79
AIAENG.NS,2022-08-02,2022-09-20,2454.87,2455,2530,2488.64,2644.95,0.2978,72.3,33.64,1.37,32691298979998419570826189546421695966863520071430533028166075666841731072,41.36,1.352214618147579e+75,122.97,True,1,1,1,0,1,2,5.63338548857627e+76
ANDHRAPAP.NS,2022-08-02,2022-09-20,71.03,70,75,72.17,84.39,0.4125,80.4,2.17,3.061,7026132416416320704511585862776048466571822592396537279288727992217009913856,2.83,1.985560180413992e+76,129.99,True,1,1,0,1,1,2,7.83608615701224e+77
ANDHRAPAP.NS,2022-08-04,2022-09-22,73.39,75,80,76.73,85.65,0.4164,93.8,1.73,2.362,9042909628554826921553257530694496286847545138446883669952354300664328749056,3.27,2.9542375828749653e+76,188.5,True,1,1,0,1,1,2,8.131509915299737e+77
ADANIPOWER.NS,2022-08-04,2022-09-22,69.45,70,75,71.81,79.25,0.3433,84.1,1.81,2.61,1058474327034517436080099680076349913718193402525865554445720226205351804928,3.19,3.3738905888938696e+75,175.86,True,1,1,0,1,1,2,9.929794290282975e+76
20MICRONS.NS,2022-08-05,2022-09-23,105.64,105,110,107.12,103.29,0.8569,78.1,2.12,2.01,961,-2.12,-2040.27,-100.0,False,1,1,1,1,1,3,99988.72
ARCHIDPLY.NS,2022-08-05,2022-09-23,72.45,70,75,72.26,82.3,0.8018,76.6,2.26,3.113,52148787246033608656599482034616432509216603824724665025430698048968972042240,2.74,1.4312680242180148e+77,121.69,True,1,1,1,0,1,2,6.0239834928401295e+78
ASTERDM.NS,2022-08-05,2022-09-23,179.86,180,185,182.25,180.73,0.3583,68.8,2.25,1.253,110442066163188750694065501151555880351210819494582310389699695053993844670464,-1.52,-1.6823465279492831e+77,-67.58,False,1,1,1,0,1,2,1.2278907100024786e+79
ANDHRAPAP.NS,2022-08-08,2022-09-26,76.49,75,80,77.27,77.75,0.4285,92.1,2.27,2.966,7167955345080044658454620661355483189915281343587996664781241060213999534080,0.49,3.4776775013270186e+75,21.38,True,1,1,0,1,1,2,8.166286690313006e+77
20MICRONS.NS,2022-08-08,2022-09-26,108.62,110,115,112.01,94.3,0.8572,78.1,2.01,1.85,995,-2.01,-1999.55,-100.0,False,1,1,1,1,1,3,97989.16
AEGISLOG.NS,2022-08-08,2022-09-26,273.57,275,280,277.21,251.86,0.6259,86.7,2.21,0.807,558372534926097208912794722642292296792570494742585218133798793898818011136,-2.21,-1.2324682757660544e+75,-100.0,False,1,1,0,1,1,2,6.039094551253665e+76
ASPINWALL.NS,2022-08-10,2022-09-27,228.33,230,235,232.11,228.33,0.9019,76.2,2.11,0.922,153694801359350652350686967901269199667413866067491586064454266251925675573248,-2.11,-3.237133775726719e+77,-100.0,False,1,1,1,0,1,2,1.5861955501060924e+79
ANDHRAPAP.NS,2022-08-10,2022-09-27,79.76,80,85,82.01,78.32,0.4413,93.3,2.01,2.516,8137339553089975087593085400275344622610201375932442053841977199435964219392,-2.01,-1.6332573380626014e+76,-100.0,False,1,1,0,1,1,2,8.002960956506746e+77
AIAENG.NS,2022-08-10,2022-09-27,2540.11,2540,2615,2573.75,2475.16,0.3938,64.5,33.75,1.329,33379030090738243325037009364676797389267579205252168741322879721455747072,-33.75,-1.126677097715254e+75,-100.0,False,1,1,1,1,1,3,5.5207177788047445e+76
ABINFRA.NS,2022-08-10,2022-09-27,1.25,5,10,5.0,1.33,0.366,,0.0,0.0,3132355785268231735482701661644125624643565702443240078110055722334130924179761494730292639917120946176,-0.0,-2.648177877671256e+74,-100.0,False,1,1,0,1,1,2,1.2976071600589153e+76
ADOR.NS,2022-08-10,2022-09-27,797.5,800,820,808.93,849.34,0.4262,64.6,8.93,1.12,179732851743845741320591925706568459878361691994672429575659848662339551232,11.07,1.9888330068451145e+75,123.85,True,1,1,1,1,1,3,8.228003440843514e+76
AIAENG.NS,2022-08-11,2022-09-28,2597.81,2600,2675,2633.66,2441.84,0.3763,66.9,33.66,1.296,32805959231029122964226496821583417710968343254148641220711498160642457600,-33.66,-1.1041435557609488e+75,-100.0,False,1,1,1,0,1,2,5.4103034232286494e+76
APLAPOLLO.NS,2022-08-11,2022-09-28,1076.33,1075,1110,1090.73,1013.25,0.3852,75.0,15.73,1.461,2860764360519207511314871054065225024729055315877090590029910871144346419200,-15.73,-4.499867867676078e+76,-100.0,False,1,1,1,1,1,3,2.2049352551612783e+78
ADOR.NS,2022-08-11,2022-09-28,810.56,810,835,821.24,853.38,0.4106,67.8,11.24,1.387,146397984617630748603402958948371797874238973843643741030341547930012352512,13.76,2.014348927272066e+75,122.41,True,1,1,1,1,1,3,8.429438333570721e+76
ADANIENSOL.NS,2022-08-12,2022-09-29,3535.6,3535,3640,3582.25,3406.4,0.4004,77.1,47.25,1.336,100602982601544479173825015964503885453072030287114046494205117844227620864,-47.25,-4.753638031060016e+75,-100.0,False,1,1,1,0,1,2,2.329282635219408e+77
AMDIND.NS,2022-08-12,2022-09-29,70.8,70,75,72.07,78.55,0.9269,84.4,2.07,2.92,753904713053435524030645695857479569584998487882614043396583217772934201344,2.93,2.210668617374748e+75,141.81,True,1,1,0,1,1,2,8.015341601199623e+76
ARTEMISMED.NS,2022-08-12,2022-09-29,55.87,55,60,57.08,60.94,0.6638,68.8,2.08,3.725,35162109161598074812149541027564598662092881833865324740648735539575708975104,2.92,1.026432215616612e+77,140.29,True,1,1,1,1,1,3,3.761009433878119e+78
ADANIENSOL.NS,2022-08-16,2022-09-30,3581.6,3580,3690,3629.44,3289.8,0.3987,78.6,49.44,1.38,94231732148793951480001387324757215884079554200213504113183796649105817600,-49.44,-4.658565270438816e+75,-100.0,False,1,1,1,0,1,2,2.2826969825150199e+77
ARMANFIN.NS,2022-08-16,2022-09-30,1423.7,1425,1465,1442.57,1362.95,0.6488,59.1,17.57,1.234,6186011276503899492024178287753085559960290193629339017261788002331637317632,-17.57,-1.0871042570838139e+77,-100.0,False,1,1,1,1,1,3,5.326810859710689e+78
AMDIND.NS,2022-08-16,2022-09-30,80.51,80,85,82.05,77.1,0.9905,87.7,2.05,2.543,782831105299596287746158313650042949281099688397634774272538345565600088064,-2.05,-1.6030683202399247e+75,-100.0,False,1,1,0,1,1,2,7.85503476917563e+76
APOLLOTYRE.NS,2022-08-16,2022-09-30,239.06,240,245,242.26,266.34,0.2639,84.3,2.26,0.943,39655548258090286779685550633027671543862260017428447496496309142769908056064,2.74,1.0883916918790006e+77,121.69,True,1,1,0,1,1,2,4.580767774315469e+78
ABB.NS,2022-08-16,2022-09-30,2840.93,2840,2925,2878.35,3027.58,0.3232,77.2,38.35,1.35,2530689679207781684314535719986767816902314611179612806137274864140025856,46.65,1.1805417445945077e+74,121.64,True,1,1,1,1,1,3,4.970776588119984e+75
ADANIENT.NS,2022-08-16,2022-09-30,2970.45,2970,3060,3010.01,3449.47,0.2039,92.7,40.01,1.347,83155371954468044271833106428905742086439745018010307174500815243084562432,49.99,4.156866093483239e+75,124.94,True,1,1,0,1,1,2,1.705127352144275e+77
ADANIPOWER.NS,2022-08-16,2022-09-30,72.47,70,75,72.47,74.7,0.3746,78.5,2.47,3.405,804886783820709584114192897533101445137007070631226208605821042015988613120,2.23,1.7970065695812095e+75,90.49,True,1,1,1,1,1,3,1.0109494947241096e+77
AMDIND.NS,2022-08-17,2022-10-03,88.54,90,95,91.94,75.85,1.0115,91.7,1.94,2.189,810755024191916753090070528559692127434979467929642789224485784930226274304,-1.94,-1.5710069538351262e+75,-100.0,False,1,1,0,1,1,2,7.697934073792118e+76
ADANIPOWER.NS,2022-08-17,2022-10-03,76.09,75,80,77.2,70.97,0.3969,80.4,2.2,2.893,918578252581844249171085455986977930878706391005288919005816827644123021312,-2.2,-2.0218989894482194e+75,-100.0,False,1,1,0,1,1,2,9.907305048296275e+76
ADANIENSOL.NS,2022-08-17,2022-10-03,3597.65,3600,3705,3647.1,3123.65,0.3919,78.5,47.1,1.309,96921476329766769977103761497261057963149533375828429586875639132950888448,-47.1,-4.56539396503004e+75,-100.0,False,1,1,1,0,1,2,2.2370430428647195e+77
ASTRAMICRO.NS,2022-08-17,2022-10-03,282.38,280,290,284.52,298.38,0.5981,61.7,4.52,1.602,54637711052473257206472559744911867183727450135505148501076529637891311140864,5.48,2.9921729589096666e+77,121.06,True,1,1,1,0,1,2,1.2657208027579262e+79
ARCHIDPLY.NS,2022-08-17,2022-10-03,76.35,75,80,77.13,81.25,0.89,65.9,2.13,2.79,56549717192866116757569586550446345693507365178637861197558767948461372342272,2.87,1.6226891610752799e+77,134.69,True,1,1,1,1,1,3,6.186252408947658e+78
