Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV,RSI,Debit/unit,Debit_%S,Max_Profit,Units,PnL_Total,Return_%,Win,M1_Breakout,M2_Regime,F1_RSI,F2_Volume,F3_Trend,FlexScore
APARINDS.NS,2022-07-29,2022-09-16,1084.54,1085,1115,1098.32,1241.67,14.49,0.5799,65.9,13.32,1.228,2501.81,150,2501.81,125.2,True,1,1,1,1,1,3
APARINDS.NS,2022-08-01,2022-09-19,1184.74,1185,1220,1200.41,1245.33,5.11,0.6272,72.7,15.41,1.301,2526.7,129,2526.7,127.08,True,1,1,1,1,1,3
MARUTI.NS,2022-08-01,2022-09-19,8684.22,8685,8945,8801.14,9010.77,3.76,0.2311,71.8,116.14,1.337,2445.54,17,2445.54,123.86,True,1,1,1,1,1,3
MARUTI.NS,2022-08-02,2022-09-20,8847.85,8850,9115,8968.17,9030.19,2.06,0.2306,74.6,118.17,1.336,2349.27,16,992.26,52.48,True,1,1,1,0,1,2
ICICIBANK.NS,2022-08-10,2022-09-27,828.24,830,855,840.55,831.95,0.45,0.1576,85.3,10.55,1.273,2731.49,189,-1624.42,-81.49,False,1,1,0,1,1,2
APLAPOLLO.NS,2022-08-11,2022-09-28,1076.33,1075,1110,1090.73,1013.25,-5.86,0.3852,75.0,15.73,1.461,2447.34,127,-1997.66,-100.0,False,1,1,1,1,1,3
ICICIBANK.NS,2022-08-11,2022-09-28,838.93,840,865,850.66,828.98,-1.19,0.1493,86.4,10.66,1.271,2680.87,187,-1994.13,-100.0,False,1,1,0,1,1,2
ABB.NS,2022-08-16,2022-09-30,2840.93,2840,2925,2878.35,3027.58,6.57,0.3232,77.2,38.35,1.35,2425.75,52,2425.75,121.64,True,1,1,1,1,1,3
APOLLOTYRE.NS,2022-08-16,2022-09-30,239.06,240,245,242.26,266.34,11.41,0.2639,84.3,2.26,0.943,2431.73,886,2431.73,121.69,True,1,1,0,1,1,2
APOLLOTYRE.NS,2022-08-17,2022-10-03,248.47,250,255,252.22,252.24,1.52,0.2835,93.8,2.22,0.894,2497.02,899,19.53,0.98,True,1,1,0,1,1,2
APOLLOTYRE.NS,2022-08-18,2022-10-04,254.68,255,260,257.32,260.32,2.21,0.2862,94.1,2.32,0.912,2305.43,861,2305.43,115.3,True,1,1,0,1,1,2
APARINDS.NS,2022-08-23,2022-10-10,1305.97,1305,1345,1322.57,1372.86,5.12,0.6655,64.5,17.57,1.345,2535.08,113,2535.08,127.72,True,1,1,1,1,1,3
APARINDS.NS,2022-08-24,2022-10-11,1373.64,1375,1415,1392.59,1362.65,-0.8,0.6187,69.6,17.59,1.281,2532.06,113,-1987.94,-100.0,False,1,1,1,0,1,2
ABB.NS,2022-08-24,2022-10-11,3000.18,3000,3090,3040.49,3134.09,4.46,0.2975,77.6,40.49,1.35,2425.87,49,2425.87,122.26,True,1,1,1,1,1,3
ABB.NS,2022-08-25,2022-10-12,3082.48,3080,3175,3122.87,3183.55,3.28,0.3033,93.7,42.87,1.391,2398.17,46,2398.17,121.62,True,1,1,0,1,1,2
ICICIBANK.NS,2022-08-30,2022-10-17,865.86,865,890,876.35,863.81,-0.24,0.2197,66.7,11.35,1.31,2403.02,176,-1996.98,-100.0,False,1,1,1,0,1,2
ANANTRAJ.NS,2022-08-30,2022-10-17,86.71,85,90,87.23,107.49,23.97,0.7025,73.0,2.23,2.571,2482.19,896,2482.19,124.25,True,1,1,1,1,1,3
ABB.NS,2022-09-01,2022-10-18,3336.67,3335,3435,3380.17,3148.35,-5.64,0.3254,95.5,45.17,1.354,2412.57,44,-1987.43,-100.0,False,1,1,0,1,1,2
ANANTRAJ.NS,2022-09-02,2022-10-19,93.17,95,100,96.95,100.28,7.63,0.7487,78.6,1.95,2.089,3135.68,1027,3135.68,156.84,True,1,1,1,1,1,3
ANANTRAJ.NS,2022-09-05,2022-10-20,94.86,95,100,97.08,107.94,13.78,0.7458,82.3,2.08,2.191,2810.48,962,2810.48,140.56,True,1,1,0,1,1,2
APOLLOTYRE.NS,2022-09-06,2022-10-21,260.37,260,270,264.41,269.25,3.41,0.4264,64.6,4.41,1.695,2530.36,453,2192.77,109.66,True,1,1,1,1,1,3
APOLLOTYRE.NS,2022-09-07,2022-10-24,262.57,265,270,267.19,268.82,2.38,0.4214,60.7,2.19,0.835,2556.99,911,1486.3,74.39,True,1,1,1,0,1,2
ABFRL.NS,2022-09-07,2022-10-24,322.0,320,330,324.71,336.05,4.36,0.2982,70.8,4.71,1.462,2243.87,424,2243.87,112.41,True,1,1,1,0,1,2
APOLLOTYRE.NS,2022-09-08,2022-10-25,265.48,265,275,269.43,274.7,3.47,0.4183,58.6,4.43,1.671,2504.27,450,2370.14,118.76,True,1,1,1,0,1,2
ABFRL.NS,2022-09-08,2022-10-25,322.45,320,330,324.76,338.45,4.96,0.2948,75.4,4.76,1.477,2194.37,419,2194.37,109.96,True,1,1,1,0,1,2
ICICIBANK.NS,2022-09-09,2022-10-27,879.48,880,905,891.2,902.07,2.57,0.2316,60.5,11.2,1.273,2456.88,178,1934.81,97.07,True,1,1,1,0,1,2
APOLLOTYRE.NS,2022-09-12,2022-10-28,271.4,270,280,274.53,276.37,1.83,0.4354,77.0,4.53,1.668,2413.3,441,814.4,40.79,True,1,1,1,0,1,2
ICICIBANK.NS,2022-09-12,2022-10-28,885.28,885,910,896.31,885.92,0.07,0.2291,70.4,11.31,1.278,2408.78,176,-1829.86,-91.9,False,1,1,1,0,1,2
ABFRL.NS,2022-09-13,2022-10-31,330.0,330,340,334.48,353.9,7.24,0.2526,87.7,4.48,1.356,2463.56,446,2463.56,123.4,True,1,1,0,1,1,2
ICICIBANK.NS,2022-09-13,2022-10-31,888.01,890,915,901.0,886.75,-0.14,0.2229,68.3,11.0,1.238,2534.59,181,-1990.41,-100.0,False,1,1,1,0,1,2
ICICIBANK.NS,2022-09-14,2022-11-01,895.92,895,925,908.29,886.65,-1.03,0.2239,68.0,13.29,1.484,2506.21,150,-1993.79,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2022-09-15,2022-11-02,8941.74,8940,9210,9060.14,8960.82,0.21,0.203,69.8,120.14,1.344,2397.68,16,-1589.26,-82.67,False,1,1,1,1,1,3
APOLLOTYRE.NS,2022-09-15,2022-11-02,286.36,285,295,289.54,275.85,-3.67,0.4398,82.9,4.54,1.585,2402.75,440,-1997.25,-100.0,False,1,1,0,1,1,2
MARUTI.NS,2022-09-19,2022-11-04,9010.77,9010,9280,9129.74,8960.91,-0.55,0.1905,68.9,119.74,1.329,2404.12,16,-1915.88,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2022-09-20,2022-11-07,9030.19,9030,9300,9149.06,9061.69,0.35,0.1751,61.5,119.06,1.319,2414.97,16,-1397.95,-73.38,False,1,1,1,0,1,2
ABFRL.NS,2022-09-21,2022-11-09,341.85,340,350,344.74,312.25,-8.66,0.2488,76.1,4.74,1.386,2220.8,422,-1999.2,-100.0,False,1,1,1,0,1,2
ABFRL.NS,2022-09-22,2022-11-10,344.75,345,355,349.47,313.7,-9.01,0.2483,76.6,4.47,1.297,2471.79,447,-1998.21,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2022-09-22,2022-11-10,9128.25,9130,9400,9249.26,8832.51,-3.24,0.1815,74.2,119.26,1.306,2411.91,16,-1908.09,-100.0,False,1,1,1,0,1,2
TITAN.NS,2022-09-22,2022-11-10,2702.83,2705,2785,2740.48,2607.46,-3.53,0.2241,65.0,35.48,1.313,2493.05,56,-1986.95,-100.0,False,1,1,1,0,1,2
ANANTRAJ.NS,2022-09-30,2022-11-18,96.5,95,100,97.21,106.1,9.94,0.7209,55.7,2.21,2.294,2515.76,903,2515.76,125.84,True,1,1,1,1,1,3
ABFRL.NS,2022-09-30,2022-11-18,349.1,350,360,354.44,305.5,-12.49,0.3653,61.9,4.44,1.272,2501.99,450,-1998.01,-100.0,False,1,1,1,0,1,2
ANANTRAJ.NS,2022-10-04,2022-11-22,101.08,100,105,102.17,101.18,0.1,0.7727,59.6,2.17,2.147,2605.98,921,-915.84,-45.81,False,1,1,1,1,1,3
APOLLO.NS,2022-10-04,2022-11-22,18.34,20,25,20.89,24.51,33.63,0.6643,64.6,0.89,4.873,9185.44,2237,8093.8,404.78,True,1,1,1,0,1,2
APARINDS.NS,2022-10-04,2022-11-22,1402.86,1405,1445,1422.65,1452.46,3.54,0.5789,69.6,17.65,1.258,2525.82,113,2525.82,126.66,True,1,1,1,1,1,3
APOLLO.NS,2022-10-06,2022-11-23,18.93,20,25,21.08,24.25,28.1,0.6689,66.1,1.08,5.699,7265.65,1853,5880.46,294.12,True,1,1,1,0,1,2
ANANTRAJ.NS,2022-10-06,2022-11-23,103.26,105,110,106.98,100.33,-2.84,0.7734,63.3,1.98,1.921,3040.7,1008,-1999.3,-100.0,False,1,1,1,1,1,3
APLAPOLLO.NS,2022-10-06,2022-11-23,1125.64,1125,1160,1140.75,1122.97,-0.24,0.3328,63.6,15.75,1.399,2425.32,126,-1984.68,-100.0,False,1,1,1,1,1,3
APARINDS.NS,2022-10-06,2022-11-23,1439.17,1440,1480,1457.74,1435.16,-0.28,0.5804,68.3,17.74,1.233,2492.71,112,-1987.29,-100.0,False,1,1,1,1,1,3
APOLLO.NS,2022-10-07,2022-11-24,19.1,20,25,21.13,24.57,28.65,0.6689,71.7,1.13,5.925,6835.6,1767,6070.33,303.61,True,1,1,1,0,1,2
APLAPOLLO.NS,2022-10-07,2022-11-24,1136.43,1135,1170,1150.85,1086.45,-4.4,0.3225,64.5,15.85,1.395,2412.82,126,-1997.18,-100.0,False,1,1,1,0,1,2
APOLLO.NS,2022-10-12,2022-11-29,19.86,20,25,21.47,27.2,37.0,0.8016,66.0,1.47,7.4,4805.37,1361,4805.37,240.31,True,1,1,1,1,1,3
APOLLO.NS,2022-10-13,2022-11-30,21.58,20,25,21.99,27.46,27.27,0.8408,70.9,1.99,9.229,3020.66,1004,3020.66,151.08,True,1,1,1,1,1,3
APOLLO.NS,2022-10-14,2022-12-01,23.61,25,30,26.35,26.86,13.74,0.8817,80.8,1.35,5.706,5420.51,1484,757.62,37.89,True,1,1,0,1,1,2
ANANTRAJ.NS,2022-10-17,2022-12-02,107.49,105,110,107.28,101.33,-5.74,0.7526,75.8,2.28,2.12,2386.12,877,-1998.88,-100.0,False,1,1,1,1,1,3
APARINDS.NS,2022-10-17,2022-12-02,1444.74,1445,1490,1464.81,1540.55,6.63,0.5997,70.2,19.81,1.372,2518.52,100,2518.52,127.1,True,1,1,1,1,1,3
APARINDS.NS,2022-10-18,2022-12-05,1466.58,1465,1510,1484.94,1529.61,4.3,0.6,74.5,19.94,1.359,2506.31,100,2506.31,125.71,True,1,1,1,0,1,2
APARINDS.NS,2022-10-19,2022-12-06,1497.9,1500,1545,1519.8,1576.52,5.25,0.5761,80.1,19.8,1.322,2519.57,100,2519.57,127.22,True,1,1,0,1,1,2
ANANTRAJ.NS,2022-10-20,2022-12-07,107.94,110,115,111.97,100.53,-6.86,0.8023,73.8,1.97,1.828,3065.76,1013,-1999.24,-100.0,False,1,1,1,1,1,3
ARVINDFASN.NS,2022-10-24,2022-12-09,340.1,340,350,344.47,324.63,-4.55,0.513,68.5,4.47,1.314,2472.86,447,-1997.14,-100.0,False,1,1,1,0,1,2
ICICIBANK.NS,2022-10-24,2022-12-09,903.92,905,930,916.19,907.43,0.39,0.2434,74.6,11.19,1.238,2458.05,178,-1558.67,-78.25,False,1,1,1,0,1,2
APARINDS.NS,2022-10-25,2022-12-12,1502.49,1500,1550,1522.18,1573.29,4.71,0.5616,61.2,22.18,1.476,2504.11,90,2504.11,125.46,True,1,1,1,0,1,2
ARVINDFASN.NS,2022-10-27,2022-12-13,369.24,370,380,374.47,331.57,-10.2,0.4339,77.6,4.47,1.21,2473.06,447,-1996.94,-100.0,False,1,1,1,1,1,3
ANANTRAJ.NS,2022-10-27,2022-12-13,109.48,110,115,112.07,106.69,-2.54,0.7814,58.4,2.07,1.894,2820.66,964,-1999.34,-100.0,False,1,1,1,0,1,2
APARINDS.NS,2022-10-27,2022-12-13,1504.93,1505,1550,1524.97,1672.33,11.12,0.553,58.0,19.97,1.327,2502.63,100,2502.63,125.3,True,1,1,1,0,1,2
ANANTRAJ.NS,2022-10-28,2022-12-14,114.1,115,120,117.06,109.08,-4.4,0.7611,64.5,2.06,1.807,2847.02,969,-1997.98,-100.0,False,1,1,1,0,1,2
MARUTI.NS,2022-10-28,2022-12-14,9216.31,9215,9495,9340.73,8390.12,-8.96,0.2766,75.2,125.73,1.364,2314.07,15,-1885.93,-100.0,False,1,1,1,1,1,3
ABFRL.NS,2022-10-31,2022-12-15,353.9,355,365,359.41,308.55,-12.81,0.2799,65.9,4.41,1.245,2540.08,454,-1999.92,-100.0,False,1,1,1,1,1,3
MARUTI.NS,2022-10-31,2022-12-15,9250.34,9250,9530,9375.61,8334.34,-9.9,0.2701,74.3,125.61,1.358,2315.81,15,-1884.19,-100.0,False,1,1,1,1,1,3
TITAN.NS,2022-10-31,2022-12-15,2726.43,2725,2810,2763.1,2490.66,-8.65,0.2564,63.7,38.1,1.397,2438.9,52,-1981.1,-100.0,False,1,1,1,0,1,2
ABFRL.NS,2022-11-01,2022-12-16,358.15,360,370,364.31,303.35,-15.3,0.2602,79.1,4.31,1.204,2633.34,463,-1996.66,-100.0,False,1,1,1,1,1,3
ARVINDFASN.NS,2022-11-01,2022-12-16,371.37,370,385,376.67,320.67,-13.65,0.4312,72.1,6.67,1.796,2490.61,299,-1994.39,-100.0,False,1,1,1,0,1,2
TITAN.NS,2022-11-03,2022-12-20,2728.55,2730,2810,2765.73,2476.29,-9.25,0.2398,79.0,35.73,1.31,2434.61,55,-1965.39,-100.0,False,1,1,1,0,1,2
TITAN.NS,2022-11-04,2022-12-21,2734.52,2735,2815,2770.88,2457.98,-10.11,0.2398,78.0,35.88,1.312,2426.78,55,-1973.22,-100.0,False,1,1,1,0,1,2
ANANTRAJ.NS,2022-11-04,2022-12-21,114.2,115,120,117.08,104.71,-8.32,0.5097,64.6,2.08,1.823,2801.91,960,-1998.09,-100.0,False,1,1,1,0,1,2
APOLLOTYRE.NS,2022-11-07,2022-12-22,287.41,285,295,289.76,302.27,5.17,0.2311,75.0,4.76,1.655,2201.98,420,2201.98,110.21,True,1,1,1,1,1,3
ANANTRAJ.NS,2022-11-09,2022-12-23,114.75,115,120,117.13,89.39,-22.1,0.4994,62.6,2.13,1.859,2686.24,937,-1998.76,-100.0,False,1,1,1,0,1,2
ANANTRAJ.NS,2022-11-11,2022-12-27,115.94,115,120,117.25,97.55,-15.87,0.5017,64.0,2.25,1.939,2446.68,889,-1998.32,-100.0,False,1,1,1,0,1,2
APOLLO.NS,2022-11-14,2022-12-28,23.8,25,30,26.06,26.63,11.87,0.5222,62.0,1.06,4.444,7450.8,1890,1078.26,53.93,True,1,1,1,0,1,2
APARINDS.NS,2022-11-15,2022-12-29,1563.42,1565,1610,1584.93,1719.73,10.0,0.5566,59.9,19.93,1.275,2506.99,100,2506.99,125.79,True,1,1,1,1,1,3
APOLLO.NS,2022-11-15,2022-12-29,24.31,25,30,26.06,27.75,14.14,0.4203,59.5,1.06,4.353,7445.92,1889,3198.17,159.98,True,1,1,1,0,1,2
ANANTRAJ.NS,2022-11-15,2022-12-29,117.68,120,125,121.96,104.66,-11.07,0.5079,67.4,1.96,1.662,3111.4,1022,-1998.6,-100.0,False,1,1,1,0,1,2
APOLLO.NS,2022-11-21,2023-01-04,24.68,25,30,26.2,31.71,28.52,0.423,72.6,1.2,4.883,6295.93,1659,6295.93,314.94,True,1,1,1,1,1,3
ICICIBANK.NS,2022-11-23,2023-01-06,905.04,905,930,915.96,849.08,-6.18,0.1274,65.2,10.96,1.211,2554.91,182,-1995.09,-100.0,False,1,1,1,0,1,2
ICICIBANK.NS,2022-11-24,2023-01-09,916.17,915,945,927.9,852.25,-6.98,0.1343,68.3,12.9,1.408,2632.79,154,-1987.21,-100.0,False,1,1,1,0,1,2
APOLLO.NS,2022-11-25,2023-01-10,24.69,25,30,26.12,30.76,24.59,0.3755,61.0,1.12,4.531,6940.01,1788,6940.01,347.0,True,1,1,1,0,1,2
APOLLOTYRE.NS,2022-11-28,2023-01-11,298.83,300,310,304.34,305.04,2.08,0.461,56.2,4.34,1.453,2603.17,460,323.37,16.19,True,1,1,1,1,1,3
APOLLO.NS,2022-11-28,2023-01-11,25.92,25,30,26.7,32.29,24.59,0.3904,74.3,1.7,6.576,3865.6,1173,3865.6,193.34,True,1,1,1,1,1,3
ABCAPITAL.NS,2022-11-28,2023-01-11,137.05,135,140,137.47,147.0,7.26,0.2863,66.9,2.47,1.806,2040.26,808,2040.26,102.03,True,1,1,1,1,1,3
ICICIBANK.NS,2022-11-29,2023-01-12,923.88,925,950,935.74,839.86,-9.09,0.1261,71.4,10.74,1.163,2652.22,186,-1997.78,-100.0,False,1,1,1,0,1,2
ABCAPITAL.NS,2022-11-29,2023-01-12,144.1,145,150,147.1,146.3,1.53,0.3222,72.4,2.1,1.461,2750.35,950,-764.65,-38.24,False,1,1,1,1,1,3
APOLLOTYRE.NS,2022-11-29,2023-01-12,301.17,300,310,304.53,302.94,0.59,0.4612,60.3,4.53,1.504,2412.43,441,-700.37,-35.06,False,1,1,1,0,1,2
