Ticker,Entry_Date,Exit_Date,Year,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,RSI14,VolPotential,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL
MARUTI.NS,2016-09-30,2016-11-03,2016,5035.7,5035,5340,5140.97,5337.49,5.99,0.2301,54.9,0.911,105.97,2.104,18,3537.24,185.43,True,103537.24
ASIANPAINT.NS,2016-10-03,2016-11-04,2016,1096.25,1095,1160,1118.14,960.84,-12.35,0.2304,62.1,0.887,23.14,2.111,86,-1990.22,-100.0,False,101547.02
BAJFINANCE.NS,2016-10-07,2016-11-10,2016,104.51,105,110,106.98,89.71,-14.16,0.3916,51.4,0.95,1.98,1.897,1008,-1998.6,-100.0,False,99548.42
SBIN.NS,2016-10-18,2016-11-18,2016,230.76,230,245,235.41,247.74,7.36,0.248,55.3,0.93,5.41,2.345,369,3538.31,177.21,True,103086.73
SBIN.NS,2016-12-09,2017-01-09,2016,239.52,240,255,245.58,221.91,-7.35,0.3439,60.8,0.897,5.58,2.331,358,-1998.42,-100.0,False,101088.31
ICICIBANK.NS,2016-12-09,2017-01-09,2016,232.59,235,245,238.71,224.14,-3.63,0.3217,58.0,0.789,3.71,1.594,539,-1997.98,-100.0,False,99090.33
RELIANCE.NS,2016-12-13,2017-01-11,2016,226.8,225,235,229.16,236.88,4.45,0.1564,62.1,0.763,4.16,1.834,480,2802.95,140.35,True,101893.28
MARUTI.NS,2016-12-16,2017-01-16,2016,4770.32,4770,5055,4878.59,5219.21,9.41,0.3262,63.5,0.95,108.59,2.276,18,3175.35,162.45,True,105068.63
ICICIBANK.NS,2017-01-11,2017-02-10,2017,229.34,230,245,234.6,243.98,6.38,0.2082,64.9,0.717,4.6,2.007,434,4069.79,203.73,True,109138.42
HDFCBANK.NS,2017-01-11,2017-02-10,2017,281.36,280,290,284.12,297.23,5.64,0.1248,74.4,0.791,4.12,1.463,485,2853.45,142.92,True,111991.87
SBIN.NS,2017-01-11,2017-02-10,2017,226.5,225,240,230.41,248.23,9.6,0.2134,53.6,0.588,5.41,2.388,369,3539.31,177.35,True,115531.18
RELIANCE.NS,2017-01-12,2017-02-13,2017,236.28,235,245,239.03,224.63,-4.93,0.1575,59.4,0.905,4.03,1.706,496,-1999.32,-100.0,False,113531.86
