Expiry_Days,Strike_K,Moneyness_%,Implied_Vol_%,Call_Price_$,Delta,Gamma,Vega,Theta,1x2_Net_Debit_$
7,55250.0,-15.0,57.29,9837.17,0.9822,9e-06,3.9563,-23.586,57.14
7,56875.0,-12.5,56.78,8264.67,0.9599,1.7e-05,7.7708,-38.9318,89.02
7,58500.0,-10.0,56.33,6747.19,0.9195,2.9e-05,13.442,-61.3491,117.38
7,60125.0,-7.5,55.93,5321.38,0.8549,4.5e-05,20.5273,-88.8919,142.52
7,61750.0,-5.0,55.58,4030.51,0.7634,6.2e-05,27.7638,-116.4653,164.66
7,63375.0,-2.5,55.27,2915.66,0.6486,7.5e-05,33.3894,-137.1907,184.06
7,65000.0,0.0,55.0,2004.98,0.5202,8e-05,35.8648,-145.2548,200.89
7,66625.0,2.5,54.77,1305.93,0.3917,7.8e-05,34.5784,-138.5799,215.37
7,68250.0,5.0,54.57,803.8,0.2759,6.8e-05,30.0828,-119.6083,227.64
7,69875.0,7.5,54.41,466.98,0.1816,5.4e-05,23.7479,-93.8432,237.86
7,71500.0,10.0,54.27,256.09,0.1117,3.9e-05,17.1089,-67.2855,246.17
7,73125.0,12.5,54.17,132.7,0.0643,2.6e-05,11.3149,-44.3338,252.71
7,74750.0,15.0,54.09,65.09,0.0347,1.6e-05,6.9099,-26.9973,257.58
7,76375.0,17.5,54.04,30.3,0.0177,9e-06,3.9196,-15.2818,260.88
7,78000.0,20.0,54.01,13.42,0.0085,5e-06,2.0772,-8.0869,262.73
14,55250.0,-15.0,57.29,10068.39,0.936,1.7e-05,15.9543,-39.5957,-706.67
14,56875.0,-12.5,56.78,8598.76,0.8986,2.5e-05,22.5685,-52.5899,-658.01
14,58500.0,-10.0,56.33,7208.16,0.8479,3.3e-05,29.9542,-66.8253,-614.65
14,60125.0,-7.5,55.93,5919.42,0.7835,4.1e-05,37.3485,-80.7709,-576.19
14,61750.0,-5.0,55.58,4753.83,0.7065,4.9e-05,43.8178,-92.6161,-542.26
14,63375.0,-2.5,55.27,3728.1,0.6201,5.4e-05,48.4667,-100.6791,-512.53
14,65000.0,0.0,55.0,2851.9,0.5286,5.7e-05,50.6554,-103.8174,-486.68
14,66625.0,2.5,54.77,2126.55,0.437,5.7e-05,50.1501,-101.6936,-464.46
14,68250.0,5.0,54.57,1545.17,0.3501,5.3e-05,47.1556,-94.8111,-445.6
14,69875.0,7.5,54.41,1094.14,0.2718,4.8e-05,42.2297,-84.3278,-429.87
14,71500.0,10.0,54.27,755.34,0.2046,4.1e-05,36.1223,-71.7357,-417.08
14,73125.0,12.5,54.17,508.76,0.1494,3.4e-05,29.5989,-58.5226,-407.03
14,74750.0,15.0,54.09,334.68,0.106,2.7e-05,23.3024,-45.9136,-399.53
14,76375.0,17.5,54.04,215.28,0.0731,2e-05,17.6779,-34.7385,-394.44
14,78000.0,20.0,54.01,135.6,0.0492,1.5e-05,12.9607,-25.4187,-391.6
30,55250.0,-15.0,57.29,10770.7,0.8636,2e-05,40.7437,-45.1147,-2078.23
30,56875.0,-12.5,56.78,9451.06,0.823,2.5e-05,48.3801,-51.8182,-2004.21
30,58500.0,-10.0,56.33,8211.22,0.776,2.9e-05,55.754,-58.1291,-1938.21
30,60125.0,-7.5,55.93,7060.84,0.7231,3.2e-05,62.393,-63.6334,-1879.63
30,61750.0,-5.0,55.58,6007.67,0.6654,3.5e-05,67.8541,-67.9563,-1827.92
30,63375.0,-2.5,55.27,5056.91,0.6045,3.7e-05,71.7786,-70.8087,-1782.57
30,65000.0,0.0,55.0,4210.9,0.5418,3.9e-05,73.9346,-72.0206,-1743.14
30,66625.0,2.5,54.77,3469.04,0.479,3.9e-05,74.2399,-71.5567,-1709.22
30,68250.0,5.0,54.57,2827.94,0.4179,3.8e-05,72.7613,-69.5117,-1680.42
30,69875.0,7.5,54.41,2281.86,0.3597,3.7e-05,69.6952,-66.0891,-1656.41
30,71500.0,10.0,54.27,1823.2,0.3056,3.5e-05,65.3322,-61.5688,-1636.87
30,73125.0,12.5,54.17,1443.16,0.2565,3.2e-05,60.0162,-56.2694,-1621.5
30,74750.0,15.0,54.09,1132.33,0.2127,2.9e-05,54.1035,-50.5134,-1610.05
30,76375.0,17.5,54.04,881.18,0.1744,2.6e-05,47.9287,-44.5978,-1602.26
30,78000.0,20.0,54.01,680.58,0.1415,2.2e-05,41.7801,-38.7743,-1597.92
45,55250.0,-15.0,57.29,11434.2,0.8262,2e-05,58.5787,-43.0758,-3107.36
45,56875.0,-12.5,56.78,10194.38,0.7883,2.2e-05,66.097,-47.3228,-3015.87
45,58500.0,-10.0,56.33,9028.04,0.7463,2.5e-05,73.098,-51.1601,-2934.27
45,60125.0,-7.5,55.93,7940.77,0.7007,2.7e-05,79.264,-54.4113,-2861.83
45,61750.0,-5.0,55.58,6936.75,0.6525,2.9e-05,84.317,-56.9286,-2797.86
45,63375.0,-2.5,55.27,6018.53,0.6023,3.1e-05,88.0416,-58.6049,-2741.77
45,65000.0,0.0,55.0,5186.91,0.5511,3.2e-05,90.3023,-59.3814,-2692.98
45,66625.0,2.5,54.77,4441.03,0.4999,3.2e-05,91.0507,-59.2507,-2651.0
45,68250.0,5.0,54.57,3778.44,0.4496,3.2e-05,90.3234,-58.2535,-2615.37
45,69875.0,7.5,54.41,3195.32,0.401,3.1e-05,88.2321,-56.4716,-2585.65
45,71500.0,10.0,54.27,2686.77,0.3548,3e-05,84.9478,-54.0181,-2561.45
45,73125.0,12.5,54.17,2247.08,0.3114,2.9e-05,80.6814,-51.0257,-2542.43
45,74750.0,15.0,54.09,1870.03,0.2714,2.7e-05,75.6642,-47.6356,-2528.26
45,76375.0,17.5,54.04,1549.2,0.235,2.5e-05,70.1297,-43.987,-2518.62
45,78000.0,20.0,54.01,1278.16,0.2021,2.3e-05,64.2989,-40.2094,-2513.24
60,55250.0,-15.0,57.29,12060.44,0.8027,1.8e-05,73.1818,-40.4305,-3996.13
60,56875.0,-12.5,56.78,10874.07,0.7676,2e-05,80.4949,-43.4331,-3890.14
60,58500.0,-10.0,56.33,9755.55,0.7296,2.2e-05,87.2076,-46.0973,-3795.61
