Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,VolPotential,VectorScore,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL
INFY.NS,2021-08-18,2021-09-20,1509.79,1510,1570,1531.26,1470.07,-2.63,0.1382,,4,21.26,1.408,94,-1998.41,-100.0,False,98001.59
TITAN.NS,2021-08-18,2021-09-20,1849.87,1850,1975,1891.44,2043.74,10.48,0.2338,,3,41.44,2.24,48,4010.83,201.63,True,102012.42
AJMERA.NS,2021-08-18,2021-09-20,63.92,65,70,66.65,62.82,-1.72,0.4584,,3,1.65,2.588,1208,-1998.49,-100.0,False,100013.93
HDFCBANK.NS,2021-08-20,2021-09-21,708.75,710,740,719.99,726.16,2.46,0.1416,,3,9.99,1.409,200,1233.29,61.73,True,101247.22
BAJFINANCE.NS,2021-08-23,2021-09-22,658.44,660,700,673.42,760.0,15.42,0.233,,4,13.42,2.038,149,3960.79,198.12,True,105208.01
HDFCBANK.NS,2021-08-24,2021-09-23,729.38,730,760,740.62,734.6,0.72,0.1525,,4,10.62,1.456,188,-1131.09,-56.67,False,104076.92
BAJFINANCE.NS,2021-08-24,2021-09-23,680.67,680,730,696.63,770.28,13.17,0.2523,,3,16.63,2.443,120,4004.5,200.68,True,108081.42
HDFCBANK.NS,2021-08-25,2021-09-24,728.71,730,760,740.41,749.36,2.83,0.1535,,3,10.41,1.429,192,1718.2,85.93,True,109799.62
ABB.NS,2021-08-25,2021-09-24,1692.78,1695,1815,1733.96,1837.12,8.53,0.2467,,3,38.96,2.301,51,4133.15,208.02,True,113932.77
RELIANCE.NS,2021-08-25,2021-09-24,997.6,1000,1045,1015.31,1124.46,12.72,0.169,,3,15.31,1.534,130,3860.22,194.0,True,117792.99
ABB.NS,2021-08-26,2021-09-27,1697.92,1700,1815,1737.76,1813.94,6.83,0.2395,,3,37.76,2.224,52,3961.31,201.74,True,121754.3
RELIANCE.NS,2021-08-26,2021-09-27,1010.21,1010,1060,1027.09,1143.37,13.18,0.1656,,4,17.09,1.692,117,3850.05,192.51,True,125604.35
RELIANCE.NS,2021-08-27,2021-09-28,1008.83,1010,1055,1025.7,1154.06,14.4,0.1664,,3,15.7,1.557,127,3720.52,186.54,True,129324.87
TCS.NS,2021-08-27,2021-09-28,3231.69,3230,3390,3285.54,3282.94,1.59,0.17,,4,55.54,1.719,36,-93.48,-4.68,False,129231.39
ABB.NS,2021-08-27,2021-09-28,1809.1,1810,1955,1859.52,1760.79,-2.67,0.3235,,4,49.52,2.737,40,-1980.73,-100.0,False,127250.66
AJMERA.NS,2021-08-30,2021-09-29,68.46,70,75,71.64,68.79,0.48,0.4814,,3,1.64,2.397,1218,-1998.78,-100.0,False,125251.88
RELIANCE.NS,2021-08-30,2021-09-29,1028.24,1030,1080,1046.61,1144.91,11.35,0.1672,,3,16.61,1.615,120,4006.99,201.05,True,129258.87
ABB.NS,2021-08-30,2021-09-29,1879.16,1880,2030,1932.31,1780.25,-5.26,0.3445,,4,52.31,2.784,38,-1987.65,-100.0,False,127271.22
