Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,VolPotential,VectorScore,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL,SqueezeBucket
TCS.NS,2021-11-12,2021-12-14,3068.95,3070,3210,3118.54,3154.03,2.77,0.1596,0.733,4,48.54,1.582,41,1455.06,73.11,True,101455.06,0.70-0.80
TCS.NS,2021-11-15,2021-12-15,3092.67,3095,3235,3143.28,3107.51,0.48,0.1596,0.703,4,48.28,1.561,41,-1466.75,-74.09,False,99988.31,0.70-0.80
TCS.NS,2021-11-16,2021-12-16,3095.37,3095,3235,3143.74,3117.3,0.71,0.1548,0.647,4,48.74,1.575,41,-1084.01,-54.25,False,98904.3,<0.70
BAJFINANCE.NS,2021-11-17,2021-12-17,741.86,740,795,758.49,672.96,-9.29,0.2476,0.746,4,18.49,2.492,108,-1996.53,-100.0,False,96907.77,0.70-0.80
TITAN.NS,2021-11-17,2021-12-17,2458.91,2460,2655,2525.06,2243.5,-8.76,0.2966,0.839,4,65.06,2.646,30,-1951.83,-100.0,False,94955.94,0.80-0.88
BAJFINANCE.NS,2021-11-18,2021-12-20,729.9,730,785,747.81,646.93,-11.37,0.253,0.821,4,17.81,2.439,112,-1994.17,-100.0,False,92961.77,0.80-0.88
ANGELONE.NS,2021-11-24,2021-12-23,107.6,110,115,111.83,106.65,-0.88,0.5206,0.783,4,1.83,1.704,1091,-1999.86,-100.0,False,90961.91,0.70-0.80
TCS.NS,2021-11-25,2021-12-24,2999.19,3000,3120,3042.72,3195.02,6.53,0.1432,0.798,4,42.72,1.424,46,3554.74,180.88,True,94516.65,0.70-0.80
TCS.NS,2021-11-26,2021-12-27,3000.02,3000,3125,3043.95,3216.96,7.23,0.1429,0.802,4,43.95,1.465,45,3647.45,184.44,True,98164.1,0.80-0.88
ANGELONE.NS,2021-12-13,2022-01-11,102.81,105,110,106.91,114.67,11.54,0.6891,0.71,4,1.91,1.855,1048,3241.32,162.17,True,101405.42,0.70-0.80
AJMERA.NS,2021-12-13,2022-01-11,57.88,60,65,61.33,69.8,20.59,0.4369,0.802,4,1.33,2.3,1502,5510.3,275.56,True,106915.72,0.80-0.88
ANGELONE.NS,2021-12-14,2022-01-12,106.38,105,115,109.04,113.94,7.1,0.702,0.693,5,4.04,3.8,494,2417.4,121.04,True,109333.12,<0.70
APARINDS.NS,2021-12-14,2022-01-12,698.83,700,755,720.12,736.0,5.32,0.429,0.869,5,20.12,2.879,99,1571.56,78.89,True,110904.68,0.80-0.88
TITAN.NS,2021-12-14,2022-01-12,2316.75,2315,2500,2375.78,2570.67,10.96,0.2746,0.839,4,60.78,2.623,32,3975.05,204.38,True,114879.73,0.80-0.88
ANGELONE.NS,2021-12-15,2022-01-13,106.21,105,115,109.01,117.4,10.53,0.7012,0.703,4,4.01,3.778,498,2981.73,149.22,True,117861.45999999999,0.70-0.80
TITAN.NS,2021-12-16,2022-01-14,2319.11,2320,2505,2380.56,2550.8,9.99,0.2825,0.752,4,60.56,2.611,33,4106.63,205.5,True,121968.09,0.70-0.80
ABREL.NS,2021-12-16,2022-01-14,861.37,860,930,886.88,976.84,13.41,0.5235,0.83,5,26.88,3.12,74,3191.03,160.44,True,125159.12,0.80-0.88
APARINDS.NS,2021-12-16,2022-01-14,710.27,710,765,730.48,769.01,8.27,0.4214,0.878,4,20.48,2.883,97,3348.89,168.62,True,128508.01,0.80-0.88
TITAN.NS,2021-12-17,2022-01-17,2243.5,2245,2425,2304.96,2555.52,13.91,0.3019,0.813,5,59.96,2.672,33,3961.47,200.22,True,132469.48,0.80-0.88
ANGELONE.NS,2021-12-21,2022-01-19,107.45,105,115,109.24,129.41,20.43,0.6668,0.767,5,4.24,3.943,471,2714.18,135.99,True,135183.66,0.70-0.80
ANGELONE.NS,2021-12-22,2022-01-20,107.71,110,115,111.88,135.53,25.82,0.5891,0.75,5,1.88,1.749,1061,3306.51,165.45,True,138490.16999999998,0.70-0.80
TITAN.NS,2021-12-22,2022-01-20,2262.54,2265,2445,2324.58,2522.81,11.5,0.2976,0.872,4,59.58,2.633,33,3973.85,202.11,True,142464.02,0.80-0.88
AJMERA.NS,2021-12-22,2022-01-20,51.99,50,55,52.3,84.2,61.97,0.4231,0.75,4,2.3,4.431,868,2340.43,117.05,True,144804.45,0.70-0.80
TITAN.NS,2021-12-23,2022-01-21,2292.2,2290,2475,2352.49,2487.24,8.51,0.2997,0.832,4,62.49,2.726,32,3920.17,196.03,True,148724.62,0.80-0.88
ANGELONE.NS,2021-12-24,2022-01-24,105.77,105,115,108.84,123.21,16.49,0.5388,0.841,4,3.84,3.629,520,3203.8,160.49,True,151928.41999999998,0.80-0.88
TITAN.NS,2021-12-27,2022-01-25,2293.58,2295,2455,2347.97,2338.04,1.94,0.2482,0.811,4,52.97,2.31,37,-367.41,-18.74,False,151561.01,0.80-0.88
ANGELONE.NS,2021-12-27,2022-01-25,104.12,105,110,106.97,129.76,24.62,0.4666,0.848,4,1.97,1.891,1015,3076.32,153.92,True,154637.33,0.80-0.88
RELIANCE.NS,2021-12-27,2022-01-25,1073.53,1075,1160,1102.27,1074.89,0.13,0.2744,0.853,4,27.27,2.54,73,-1990.38,-100.0,False,152646.95,0.80-0.88
RELIANCE.NS,2021-12-28,2022-01-27,1086.28,1085,1170,1113.31,1058.97,-2.51,0.2734,0.849,4,28.31,2.606,70,-1981.37,-100.0,False,150665.58,0.80-0.88
ANGELONE.NS,2021-12-30,2022-01-31,108.61,110,115,111.83,127.75,17.62,0.3598,0.88,4,1.83,1.685,1092,3461.64,173.22,True,154127.22,0.80-0.88
ANGELONE.NS,2021-12-31,2022-02-01,107.76,110,115,111.69,127.01,17.87,0.3595,0.833,4,1.69,1.567,1184,3920.71,196.1,True,158047.93,0.80-0.88
TCS.NS,2021-12-31,2022-02-01,3253.73,3255,3410,3308.57,3313.77,1.85,0.1682,0.83,4,53.57,1.646,37,192.45,9.71,True,158240.38,0.80-0.88
TITAN.NS,2021-12-31,2022-02-01,2481.58,2480,2675,2544.39,2392.45,-3.59,0.2739,0.878,5,64.39,2.595,31,-1996.24,-100.0,False,156244.13999999998,0.80-0.88
ANGELONE.NS,2022-01-03,2022-02-02,110.91,110,120,113.65,129.16,16.46,0.355,0.796,4,3.65,3.287,548,3482.38,174.33,True,159726.52,0.70-0.80
TITAN.NS,2022-01-03,2022-02-02,2483.01,2485,2670,2545.43,2424.13,-2.37,0.2617,0.831,4,60.43,2.434,33,-1994.34,-100.0,False,157732.18,0.80-0.88
RELIANCE.NS,2022-01-03,2022-02-02,1088.75,1090,1165,1114.34,1079.55,-0.84,0.2365,0.712,4,24.34,2.236,82,-1996.11,-100.0,False,155736.07,0.70-0.80
TCS.NS,2022-01-03,2022-02-02,3322.84,3325,3455,3370.99,3362.2,1.18,0.1399,0.825,5,45.99,1.384,43,-377.98,-19.11,False,155358.09,0.80-0.88
BAJFINANCE.NS,2022-01-03,2022-02-02,704.02,705,760,724.38,706.74,0.39,0.3598,0.832,4,19.38,2.753,103,-1817.69,-91.04,False,153540.4,0.80-0.88
BAJFINANCE.NS,2022-01-04,2022-02-03,716.05,715,775,736.14,693.4,-3.16,0.3569,0.815,4,21.14,2.952,94,-1987.06,-100.0,False,151553.34,0.80-0.88
ANGELONE.NS,2022-01-04,2022-02-03,111.16,110,120,113.73,128.48,15.59,0.3548,0.743,5,3.73,3.352,536,3362.95,168.4,True,154916.28999999998,0.70-0.80
TCS.NS,2022-01-04,2022-02-03,3381.15,3380,3520,3429.9,3334.65,-1.38,0.1441,0.814,5,49.9,1.476,40,-1995.9,-100.0,False,152920.38999999998,0.80-0.88
RELIANCE.NS,2022-01-04,2022-02-03,1113.32,1115,1190,1139.88,1065.6,-4.29,0.2474,0.693,4,24.88,2.235,80,-1990.51,-100.0,False,150929.87999999998,<0.70
ABREL.NS,2022-01-05,2022-02-04,898.84,900,970,926.49,868.11,-3.42,0.501,0.837,4,26.49,2.948,75,-1987.03,-100.0,False,148942.84999999998,0.80-0.88
BHARTIARTL.NS,2022-01-06,2022-02-07,685.69,685,725,698.41,681.92,-0.55,0.1885,0.64,5,13.41,1.956,149,-1998.37,-100.0,False,146944.47999999998,<0.70
