Slots,Alloc%,UnderlyingTP%,EffectiveOptionsTP%,StopLoss%,FinalCapital,TotalReturn%,CAGR%,WinRate%,MaxDD%,Trades
1,100,3,7.5,1,1.71E+25,1.71E+22,10486.42607,44.73835538,100,1739
1,100,4.5,11.25,1,2.95E+24,2.95E+21,8777.41281,33.94495413,100,1526
1,100,3,7.5,1.5,1.50E+23,1.50E+20,6489.589471,48.16010329,100,1549
1,100,4.5,11.25,1.5,8.27E+22,8.27E+19,6108.139859,37.85394933,100,1342
2,50,3,7.5,1,2.02E+22,2.02E+19,5292.037432,43.67052023,50,3460
2,50,4.5,11.25,1,7.00E+21,7.00E+18,4749.231786,32.35777705,50,3041
1,100,4.5,11.25,2,4.64E+21,4.64E+18,4554.01342,41.98800343,100,1167
1,100,3,7.5,2,1.22E+21,1.22E+18,3970.43559,51.44337528,100,1351
3,33.3,3,7.5,1,1.12E+21,1.12E+18,3937.534138,43.85164617,48.14814815,5042
2,50,3,7.5,1.5,8.20E+20,8.20E+17,3812.542668,47.53670473,50.42577642,3065
3,33.3,4.5,11.25,1,6.06E+20,6.06E+17,3696.110506,32.3080481,48.14814815,4324
2,50,4.5,11.25,1.5,1.84E+20,1.84E+17,3268.654115,35.93155894,50,2630
3,33.3,3,7.5,1.5,7.59E+19,7.59E+16,2983.502408,47.13968958,42.92019537,4510
2,50,4.5,11.25,2,5.40E+19,5.40E+16,2880.207558,40.34782609,50.71920368,2300
2,50,3,7.5,2,4.47E+19,4.47E+16,2824.578504,50.64838829,50,2699
3,33.3,4.5,11.25,1.5,3.21E+19,3.21E+16,2729.143933,35.86028461,43.11354037,3865
3,33.3,3,7.5,2,7.71E+18,7.7147E+15,2352.918301,50.84702908,43.0425831,3955
1,100,8,20,1,3.94E+18,3.9424E+15,2193.544958,20.79459003,100,1183
3,33.3,4.5,11.25,2,2.95E+18,2.9513E+15,2128.044708,39.00624814,43.28385252,3361
1,100,3,7.5,4,2.38E+18,2.37733E+15,2080.344358,62.39837398,100,984
3,33.3,8,20,1,7.62E+17,7.61975E+14,1845.702346,20.45390071,48.51303155,3525
2,50,8,20,1,7.45E+17,7.45343E+14,1841.410083,20.1356507,50.375,2359
2,50,3,7.5,4,4.47E+17,4.46698E+14,1744.45411,61.19096509,50,1948
2,50,4.5,11.25,4,1.36E+17,1.36094E+14,1537.626981,51.12781955,50,1596
3,33.3,3,7.5,4,1.35E+17,1.35119E+14,1536.449515,61.14737204,54.54195083,2911
3,33.3,8,20,1.5,1.23E+17,1.22925E+14,1521.033755,23.86102917,65.00877067,3051
2,50,8,20,1.5,9.94E+16,9.93676E+13,1486.887701,23.47091,50.5625,2011
3,33.3,4.5,11.25,4,6.94E+16,6.93838E+13,1430.864905,49.93731718,53.74187016,2393
1,100,4.5,11.25,4,5.30E+16,5.29515E+13,1390.015783,49.93614304,100,783
1,100,8,20,1.5,4.66E+16,4.65813E+13,1371.025906,23.42342342,100,999
1,100,12.5,31.25,1,5.60282E+15,5.60282E+12,1090.082007,16.63286004,100,986
1,100,8,20,2,4.81994E+15,4.81994E+12,1072.292132,26.61290323,100,868
2,50,8,20,2,3.86836E+15,3.86836E+12,1046.774205,26.25437573,51.64594374,1714
3,33.3,8,20,2,3.33348E+15,3.33348E+12,1029.823435,27.1139341,65.39687622,2519
