Date,Ticker,Type,Entry,Exit,PnL_%,PnL_USD,Capital
2016-10-03,BTC-USD,Crypto 1.5x,609.2410278320312,612.1329956054688,0.35,28.16,100028.16
2016-10-23,BTC-USD,Crypto 1.5x,612.1329956054688,657.0709838867188,10.65,852.39,100880.55
2016-12-18,BTC-USD,Crypto 1.5x,735.81298828125,790.530029296875,10.79,871.16,101751.7
2016-12-23,BTC-USD,Crypto 1.5x,790.530029296875,894.9253692626953,19.45,1583.14,103334.85
2017-01-25,RELIANCE.NS,Equity 1x2 Spread,237.71278381347656,221.8885040283203,-0.12,-9.92,103324.93
2017-02-03,^NSEI,Equity 1x2 Spread,8435.099609375,8740.9501953125,3.51,289.83,103614.75
2017-02-03,^NSEBANK,Equity 1x2 Spread,19124.02734375,20229.415634419714,3.1,256.26,103871.02
2017-02-09,BTC-USD,Crypto 1.5x,901.5419921875,1003.67998046875,16.63,1374.96,105245.97
2017-02-22,RELIANCE.NS,Equity 1x2 Spread,232.837890625,264.2791593572124,-2.5,-210.49,105035.48
2017-02-23,BTC-USD,Crypto 1.5x,994.3829956054688,1125.0830963134765,19.36,1629.69,106665.17
2017-03-02,^NSEI,Equity 1x2 Spread,8724.7001953125,8899.75,1.89,158.83,106824.0
2017-03-02,^NSEBANK,Equity 1x2 Spread,20163.46484375,20559.8125,1.85,155.4,106979.4
2017-03-10,BTC-USD,Crypto 1.5x,1166.719970703125,1108.3839721679688,-7.86,-670.71,106308.69
2017-03-17,^NSEI,Equity 1x2 Spread,8899.75,9160.0498046875,2.8,240.04,106548.73
2017-03-21,^NSEBANK,Equity 1x2 Spread,20663.41015625,21018.755859375,1.6,136.91,106685.64
2017-03-29,ICICIBANK.NS,Equity 1x2 Spread,248.87550354003906,244.50015258789062,-0.12,-10.21,106675.43
2017-04-03,^NSEI,Equity 1x2 Spread,9160.0498046875,9237.849609375,0.73,62.17,106737.6
2017-04-05,^NSEBANK,Equity 1x2 Spread,21018.755859375,21652.447265625,2.89,247.07,106984.68
2017-04-13,ICICIBANK.NS,Equity 1x2 Spread,244.50015258789062,245.02000427246094,0.09,7.9,106992.58
2017-04-18,^NSEI,Equity 1x2 Spread,9237.849609375,9105.150390625,-0.12,-10.25,106982.33
2017-04-20,^NSEBANK,Equity 1x2 Spread,21652.447265625,21491.150390625,-0.12,-10.27,106972.06
2017-04-24,BTC-USD,Crypto 1.5x,1133.25,1250.1500244140625,15.11,1290.52,108262.58
2017-04-28,ICICIBANK.NS,Equity 1x2 Spread,245.02000427246094,241.29446411132812,-0.12,-10.27,108252.31
2017-05-05,^NSEBANK,Equity 1x2 Spread,21491.150390625,22853.284209601174,2.54,217.53,108469.84
2017-05-08,BTC-USD,Crypto 1.5x,1250.1500244140625,1627.1489624023438,44.87,3886.58,112356.42
2017-05-18,^NSEI,Equity 1x2 Spread,9311.9501953125,9429.4501953125,1.14,98.88,112455.3
2017-06-02,^NSEBANK,Equity 1x2 Spread,22698.3359375,23375.62890625,2.86,257.65,112712.95
2017-06-02,ICICIBANK.NS,Equity 1x2 Spread,266.8101501464844,279.8062883042021,4.01,360.67,113073.62
2017-06-15,RELIANCE.NS,Equity 1x2 Spread,292.4269104003906,301.8603820800781,3.11,279.42,113353.04
2017-06-23,^NSEBANK,Equity 1x2 Spread,23535.826171875,23542.4765625,-0.09,-8.3,113344.74
2017-06-23,^NSEI,Equity 1x2 Spread,9647.25,9574.9501953125,-0.12,-10.86,113333.89
2017-06-27,ICICIBANK.NS,Equity 1x2 Spread,279.1131896972656,276.5389709472656,-0.12,-10.86,113323.03
2017-06-30,RELIANCE.NS,Equity 1x2 Spread,301.8603820800781,300.9989013671875,-0.12,-10.88,113312.15
2017-07-07,RELIANCE.NS,Equity 1x2 Spread,301.22784423828125,326.681918508177,0.43,38.97,113351.12
2017-07-10,^NSEBANK,Equity 1x2 Spread,23542.4765625,23674.775390625,0.44,40.07,113391.19
2017-07-10,^NSEI,Equity 1x2 Spread,9574.9501953125,9771.0498046875,1.93,174.81,113566.0
2017-07-12,ICICIBANK.NS,Equity 1x2 Spread,276.5389709472656,280.8133544921875,1.43,129.25,113695.25
2017-07-27,ICICIBANK.NS,Equity 1x2 Spread,280.8133544921875,302.0412643715182,1.32,120.11,113815.37
2017-07-28,^NSEI,Equity 1x2 Spread,9891.7001953125,10014.5,1.12,102.0,113917.37
2017-08-03,^NSEBANK,Equity 1x2 Spread,24152.369140625,24674.763671875,2.04,185.82,114103.18
2017-08-11,ICICIBANK.NS,Equity 1x2 Spread,295.0773620605469,275.6264953613281,-0.12,-10.93,114092.26
2017-08-28,TCS.NS,Equity 1x2 Spread,1006.77783203125,997.09716796875,-0.12,-10.95,114081.3
2017-09-04,BTC-USD,Crypto 1.5x,4382.8798828125,4163.735888671875,-7.86,-717.41,113363.89
2017-09-12,ICICIBANK.NS,Equity 1x2 Spread,289.0259704589844,279.7087707519531,-0.12,-10.95,113352.94
2017-09-13,RELIANCE.NS,Equity 1x2 Spread,350.5492248535156,378.0963393329069,1.02,93.25,113446.19
2017-09-20,^NSEI,Equity 1x2 Spread,9952.2001953125,10141.150390625,1.78,161.3,113607.49
2017-09-20,^NSEBANK,Equity 1x2 Spread,24328.017578125,24964.759765625,2.5,226.48,113833.97
2017-09-27,TCS.NS,Equity 1x2 Spread,997.5571899414062,1000.1834106445312,0.14,12.99,113846.96
2017-10-05,^NSEI,Equity 1x2 Spread,10141.150390625,9888.7001953125,-0.12,-10.93,113836.04
2017-10-05,^NSEBANK,Equity 1x2 Spread,24964.759765625,24057.771484375,-0.12,-10.93,113825.11
2017-10-12,BTC-USD,Crypto 1.5x,3926.070068359375,5121.909521484375,45.33,4127.93,117953.04
2017-10-12,TCS.NS,Equity 1x2 Spread,1000.1834106445312,1021.5097045898438,2.01,183.27,118136.31
2017-10-18,BTC-USD,Crypto 1.5x,5446.91015625,5174.5646484375,-7.86,-742.84,117393.47
2017-10-25,^NSEBANK,Equity 1x2 Spread,24347.166015625,25035.609375,2.71,246.56,117640.02
2017-10-27,^NSEI,Equity 1x2 Spread,10096.400390625,10323.0498046875,2.12,200.82,117840.84
2017-11-01,TCS.NS,Equity 1x2 Spread,1040.0904541015625,1046.25830078125,0.47,44.7,117885.54
2017-11-13,^NSEI,Equity 1x2 Spread,10323.0498046875,10224.9501953125,-0.12,-11.31,117874.23
2017-11-21,RELIANCE.NS,Equity 1x2 Spread,410.0184326171875,410.0403747558594,-0.11,-10.81,117863.42
2017-11-30,^NSEBANK,Equity 1x2 Spread,25218.607421875,25332.10546875,0.33,31.12,117894.54
2017-12-06,RELIANCE.NS,Equity 1x2 Spread,410.0403747558594,407.44622802734375,-0.12,-11.31,117883.23
2017-12-07,ICICIBANK.NS,Equity 1x2 Spread,306.3156433105469,293.7325744628906,-0.12,-11.31,117871.91
2017-12-08,^NSEI,Equity 1x2 Spread,10348.75,10265.650390625,-0.12,-11.31,117860.6
2017-12-15,^NSEBANK,Equity 1x2 Spread,25332.10546875,25440.005859375,0.31,28.86,117889.45
2017-12-21,RELIANCE.NS,Equity 1x2 Spread,407.44622802734375,401.4223327636719,-0.12,-11.32,117878.14
2017-12-26,ICICIBANK.NS,Equity 1x2 Spread,298.4873046875,305.5953063964844,2.26,213.22,118091.36
2018-01-08,RELIANCE.NS,Equity 1x2 Spread,404.69805908203125,408.2816467285156,0.77,72.19,118163.54
2018-01-10,ICICIBANK.NS,Equity 1x2 Spread,305.5953063964844,299.68792724609375,-0.12,-11.34,118152.21
2018-01-16,^NSEBANK,Equity 1x2 Spread,25317.8046875,25974.59765625,2.47,233.74,118385.95
