Ticker,Entry_Date,Exit_Date,Year,S_Entry,S_Exit,Move_%,Return_%,Win
BTC-USD,2017-04-24,2017-05-15,2017,1250.15,1738.43,39.06,87.82,True
ABREL.NS,2017-07-28,2017-08-30,2017,1128.53,1166.47,3.36,168.07,True
TITAN.NS,2017-07-31,2017-08-31,2017,527.4,597.99,13.39,210.07,True
BTC-USD,2017-08-28,2017-09-18,2017,4382.66,4065.2,-7.24,-5.0,False
BHARTIARTL.NS,2017-08-30,2017-09-28,2017,368.6,328.26,-10.94,-5.0,False
ABREL.NS,2017-09-06,2017-10-06,2017,1213.13,1235.24,1.82,91.12,True
RELIANCE.NS,2017-09-12,2017-10-12,2017,362.2,383.75,5.95,245.48,True
NIFTY50,2017-09-13,2017-10-13,2017,10079.3,10167.45,0.87,43.73,True
BTC-USD,2017-10-11,2017-11-01,2017,4826.48,6767.31,40.21,82.32,True
ABREL.NS,2017-10-17,2017-11-16,2017,1252.79,1239.6,-1.05,-5.0,False
NIFTY50,2017-10-17,2017-11-16,2017,10234.45,10214.75,-0.19,-5.0,False
RELIANCE.NS,2017-11-23,2017-12-22,2017,416.39,404.7,-2.81,-5.0,False
ICICIBANK.NS,2017-11-23,2017-12-22,2017,306.84,304.11,-0.89,-5.0,False
NIFTY50,2017-11-27,2017-12-27,2017,10399.55,10490.75,0.88,43.85,True
BHARTIARTL.NS,2017-12-11,2018-01-10,2017,457.7,435.1,-4.94,-5.0,False
TITAN.NS,2017-12-22,2018-01-23,2017,830.32,877.66,5.7,246.66,True
NIFTY50,2018-01-03,2018-02-02,2018,10443.2,10760.6,3.04,151.96,True
ABREL.NS,2018-01-04,2018-02-05,2018,1378.05,1196.01,-13.21,-5.0,False
RELIANCE.NS,2018-01-09,2018-02-08,2018,413.73,397.73,-3.87,-5.0,False
ICICIBANK.NS,2018-01-15,2018-02-15,2018,316.31,315.68,-0.2,-5.0,False
INFY.NS,2018-03-09,2018-04-11,2018,457.51,442.12,-3.37,-5.0,False
TITAN.NS,2018-04-30,2018-05-30,2018,951.4,885.32,-6.95,-5.0,False
INFY.NS,2018-05-11,2018-06-11,2018,464.34,496.45,6.92,240.88,True
RELIANCE.NS,2018-06-08,2018-07-09,2018,432.82,441.35,1.97,98.62,True
INFY.NS,2018-06-12,2018-07-11,2018,494.91,532.0,7.49,238.12,True
NIFTY50,2018-07-16,2018-08-14,2018,10936.85,11435.1,4.56,227.78,True
INFY.NS,2018-08-03,2018-09-05,2018,549.59,588.15,7.02,240.4,True
RELIANCE.NS,2018-08-17,2018-09-19,2018,532.82,535.92,0.58,29.08,True
NIFTY50,2018-08-20,2018-09-21,2018,11551.75,11143.1,-3.54,-5.0,False
ICICIBANK.NS,2018-11-13,2018-12-13,2018,348.21,337.26,-3.14,-5.0,False
ICICIBANK.NS,2018-12-19,2019-01-18,2018,353.61,358.92,1.5,75.03,True
TITAN.NS,2019-01-22,2019-02-21,2019,956.4,1014.65,6.09,244.81,True
INFY.NS,2019-01-28,2019-02-27,2019,596.22,602.2,1.0,50.14,True
ICICIBANK.NS,2019-03-11,2019-04-11,2019,362.63,376.33,3.78,188.91,True
NIFTY50,2019-03-19,2019-04-23,2019,11532.4,11575.95,0.38,18.88,True
ICICIBANK.NS,2019-04-15,2019-05-20,2019,378.94,393.36,3.81,190.32,True
TITAN.NS,2019-04-16,2019-05-21,2019,1090.13,1211.15,11.1,220.94,True
RELIANCE.NS,2019-04-18,2019-05-22,2019,613.47,593.31,-3.29,-5.0,False
BHARTIARTL.NS,2019-05-31,2019-07-02,2019,333.42,338.01,1.38,68.81,True
INFY.NS,2019-06-12,2019-07-11,2019,617.39,599.29,-2.93,-5.0,False
TITAN.NS,2019-06-12,2019-07-11,2019,1254.42,1067.69,-14.89,-5.0,False
BTC-USD,2019-06-14,2019-07-05,2019,8693.83,10978.46,26.28,148.67,True
ETH-USD,2019-06-15,2019-07-06,2019,269.02,287.55,6.89,241.01,True
ICICIBANK.NS,2019-06-20,2019-07-19,2019,418.16,395.87,-5.33,-5.0,False
ABB.NS,2019-06-26,2019-07-25,2019,1409.06,1234.24,-12.41,-5.0,False
NIFTY50,2019-07-01,2019-07-30,2019,11865.6,11085.4,-6.58,-5.0,False
BHARTIARTL.NS,2019-07-04,2019-08-02,2019,346.76,328.4,-5.29,-5.0,False
INFY.NS,2019-09-13,2019-10-16,2019,688.83,640.78,-6.98,-5.0,False
RELIANCE.NS,2019-10-17,2019-11-19,2019,621.85,672.28,8.11,235.19,True
TITAN.NS,2019-10-22,2019-11-21,2019,1299.8,1122.65,-13.63,-5.0,False
ICICIBANK.NS,2019-10-24,2019-11-25,2019,439.83,481.47,9.47,228.73,True
NIFTY50,2019-10-31,2019-12-02,2019,11877.45,12048.2,1.44,71.88,True
ICICIBANK.NS,2019-11-26,2019-12-26,2019,493.94,521.07,5.49,247.65,True
NIFTY50,2019-12-03,2020-01-02,2019,11994.2,12282.2,2.4,120.06,True
RELIANCE.NS,2019-12-16,2020-01-15,2019,697.6,678.56,-2.73,-5.0,False
BHARTIARTL.NS,2019-12-20,2020-01-21,2019,433.79,489.19,12.77,213.0,True
ICICIBANK.NS,2019-12-27,2020-01-27,2019,531.37,519.62,-2.21,-5.0,False
NIFTY50,2020-01-03,2020-02-03,2020,12226.65,11707.9,-4.24,-5.0,False
BHARTIARTL.NS,2020-01-22,2020-02-20,2020,491.82,521.55,6.04,245.03,True
BHARTIARTL.NS,2020-05-12,2020-06-11,2020,535.17,527.52,-1.43,-5.0,False
RELIANCE.NS,2020-06-04,2020-07-03,2020,710.14,806.96,13.63,208.89,True
RELIANCE.NS,2020-07-06,2020-08-04,2020,835.8,970.66,16.14,196.97,True
BHARTIARTL.NS,2020-07-14,2020-08-12,2020,563.37,525.43,-6.73,-5.0,False
INFY.NS,2020-08-12,2020-09-10,2020,814.11,801.41,-1.56,-5.0,False
RELIANCE.NS,2020-08-26,2020-09-24,2020,964.66,984.47,2.05,102.7,True
RELIANCE.NS,2020-10-13,2020-11-11,2020,1029.38,901.43,-12.43,-5.0,False
INFY.NS,2020-11-24,2020-12-24,2020,982.35,1065.07,8.42,233.71,True
NIFTY50,2020-12-10,2021-01-11,2020,13478.3,14484.75,7.47,238.25,True
TITAN.NS,2020-12-14,2021-01-13,2020,1436.32,1477.89,2.89,144.69,True
BTC-USD,2020-12-14,2021-01-04,2020,19246.64,31971.91,66.12,50.0,True
ETH-USD,2020-12-19,2021-01-09,2020,659.3,1281.08,94.31,50.0,True
INFY.NS,2021-01-05,2021-02-04,2021,1114.83,1102.38,-1.12,-5.0,False
ICICIBANK.NS,2021-01-06,2021-02-05,2021,528.76,594.0,12.34,215.06,True
ANANTRAJ.NS,2021-01-07,2021-02-08,2021,26.74,42.99,60.74,50.0,True
NIFTY50,2021-01-12,2021-02-11,2021,14563.45,15173.3,4.19,209.38,True
ABB.NS,2021-01-18,2021-02-17,2021,1309.95,1460.43,11.49,219.11,True
NIFTY50,2021-02-16,2021-03-18,2021,15313.45,14557.85,-4.93,-5.0,False
ETH-USD,2021-02-17,2021-03-10,2021,1848.46,1799.17,-2.67,-5.0,False
BTC-USD,2021-02-18,2021-03-11,2021,51679.8,57805.12,11.85,217.37,True
ETH-USD,2021-03-13,2021-04-03,2021,1924.69,2028.42,5.39,248.14,True
INFY.NS,2021-03-17,2021-04-20,2021,1195.14,1164.42,-2.57,-5.0,False
ETH-USD,2021-04-05,2021-04-26,2021,2107.89,2534.48,20.24,177.44,True
BTC-USD,2021-04-11,2021-05-02,2021,60204.96,56631.08,-5.94,-5.0,False
NIFTY50,2021-05-18,2021-06-16,2021,15108.1,15767.55,4.36,218.24,True
ANANTRAJ.NS,2021-05-24,2021-06-22,2021,60.42,57.55,-4.75,-5.0,False
ICICIBANK.NS,2021-05-31,2021-06-29,2021,641.0,619.1,-3.42,-5.0,False
TITAN.NS,2021-06-01,2021-06-30,2021,1561.9,1700.39,8.87,231.59,True
INFY.NS,2021-06-08,2021-07-07,2021,1230.64,1362.72,10.73,222.7,True
NIFTY50,2021-06-17,2021-07-16,2021,15691.4,15923.4,1.48,73.93,True
TITAN.NS,2021-07-05,2021-08-04,2021,1717.46,1770.48,3.09,154.34,True
ANANTRAJ.NS,2021-07-07,2021-08-06,2021,65.32,68.3,4.55,227.45,True
ICICIBANK.NS,2021-07-13,2021-08-12,2021,643.13,680.32,5.78,246.27,True
ABB.NS,2021-07-14,2021-08-13,2021,1765.54,1709.26,-3.19,-5.0,False
INFY.NS,2021-07-30,2021-08-31,2021,1402.7,1486.27,5.96,245.44,True
ICICIBANK.NS,2021-09-07,2021-10-07,2021,695.41,681.15,-2.05,-5.0,False
ABREL.NS,2021-09-08,2021-10-08,2021,856.54,922.48,7.7,237.15,True
ABB.NS,2021-09-14,2021-10-13,2021,1865.08,1766.86,-5.27,-5.0,False
NIFTY50,2021-09-15,2021-10-14,2021,17519.45,18338.55,4.68,233.77,True
ABREL.NS,2021-10-11,2021-11-11,2021,929.62,854.13,-8.12,-5.0,False
ETH-USD,2021-10-20,2021-11-10,2021,4155.99,4636.17,11.55,218.79,True
ABB.NS,2021-10-22,2021-11-24,2021,1867.04,2039.63,9.24,229.79,True
BTC-USD,2021-11-08,2021-11-29,2021,67566.83,57806.57,-14.45,-5.0,False
