Pair,Direction,Entry Time,Exit Time,Hold (mins),Entry Z-score,Exit Z-score,Entry Price A,Entry Price B,Exit Price A,Exit Price B,PnL A ($),PnL B ($),Total PnL ($),Return %,Exit Reason,Win
SOLUSDT__AVAXUSDT,SHORT_SPREAD,2026-05-21 10:06,2026-05-21 10:15,9,2.221,0.485,86.81,9.361,86.96,9.378,-1.7279,2.285,0.5571,0.028,Mean Reversion,True
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-21 10:00,2026-05-21 10:17,16,2.896,0.463,78026.33,2146.04,77985.04,2143.79,0.5292,-0.6275,-0.0984,-0.005,Mean Reversion,False
ETHUSDT__SOLUSDT,LONG_SPREAD,2026-05-21 04:10,2026-05-21 11:47,456,-2.337,0.189,2123.6,85.93,2133.03,86.3,4.4406,-3.1407,1.2998,0.065,Mean Reversion,True
SOLUSDT__AVAXUSDT,LONG_SPREAD,2026-05-21 11:47,2026-05-21 11:48,0,-3.865,-3.537,86.29,9.356,86.28,9.354,-0.1159,0.2299,0.114,0.006,Stop Loss,True
BTCUSDT__BNBUSDT,LONG_SPREAD,2026-05-21 11:48,2026-05-21 11:54,6,-2.113,-0.469,77724.16,651.72,77820.0,652.36,1.2331,-0.7747,0.4583,0.023,Mean Reversion,True
BTCUSDT__SOLUSDT,SHORT_SPREAD,2026-05-21 11:47,2026-05-21 11:57,9,3.067,-0.301,77736.2,86.3,77797.32,86.52,-0.7862,1.5666,0.7804,0.039,Mean Reversion,True
ETHUSDT__SOLUSDT,LONG_SPREAD,2026-05-21 11:57,2026-05-21 21:27,570,-2.959,-3.895,2135.47,86.54,2132.71,86.5,-1.2925,0.2644,-1.0281,-0.051,Stop Loss,False
SOLUSDT__AVAXUSDT,LONG_SPREAD,2026-05-21 11:48,2026-05-21 22:55,667,-3.537,0.052,86.28,9.354,87.75,9.498,17.0376,-16.5325,0.505,0.025,Mean Reversion,True
ETHUSDT__SOLUSDT,LONG_SPREAD,2026-05-21 21:27,2026-05-21 22:59,91,-3.895,-0.477,2132.71,86.5,2147.63,87.85,6.9958,-8.0818,-1.086,-0.054,Mean Reversion,False
ETHUSDT__BNBUSDT,SHORT_SPREAD,2026-05-21 23:01,2026-05-21 23:03,2,2.117,-0.233,2149.0,659.3,2145.46,658.46,1.6473,-0.5977,1.0496,0.052,Mean Reversion,True
SOLUSDT__AVAXUSDT,SHORT_SPREAD,2026-05-21 23:00,2026-05-21 23:04,3,2.042,0.335,87.98,9.498,87.6,9.476,4.3192,-2.3708,1.9484,0.097,Mean Reversion,True
ETHUSDT__BNBUSDT,SHORT_SPREAD,2026-05-21 23:05,2026-05-21 23:08,3,2.325,0.428,2149.31,658.7,2146.29,658.37,1.4051,-0.2349,1.1702,0.059,Mean Reversion,True
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-21 23:05,2026-05-21 23:12,7,2.305,0.404,2149.31,87.68,2146.34,87.56,1.3818,-0.4689,0.913,0.046,Mean Reversion,True
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-21 23:22,2026-05-21 23:28,6,2.082,0.413,2151.01,87.86,2148.97,87.7,0.9484,-0.6127,0.3357,0.017,Mean Reversion,True
ETHUSDT__BNBUSDT,SHORT_SPREAD,2026-05-21 23:22,2026-05-21 23:29,6,2.537,0.067,2151.84,659.29,2147.12,657.79,2.1935,-1.035,1.1585,0.058,Mean Reversion,True
BTCUSDT__ETHUSDT,LONG_SPREAD,2026-05-21 23:31,2026-05-21 23:39,8,-2.344,-0.492,77859.08,2147.2,77781.05,2143.61,-1.0022,0.8619,-0.1403,-0.007,Mean Reversion,False
ETHUSDT__SOLUSDT,LONG_SPREAD,2026-05-22 00:00,2026-05-22 00:05,5,-2.154,-0.415,2139.72,87.6,2140.23,87.58,0.2383,0.2015,0.4398,0.022,Mean Reversion,True
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-21 23:48,2026-05-22 00:06,17,3.067,0.274,77808.67,2142.36,77764.0,2140.09,0.5741,-0.7967,-0.2226,-0.011,Mean Reversion,False
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-22 00:11,2026-05-22 00:14,3,2.096,0.09,77802.78,2140.52,77757.7,2139.5,0.5794,-0.324,0.2554,0.013,Mean Reversion,True
ETHUSDT__SOLUSDT,LONG_SPREAD,2026-05-22 00:11,2026-05-22 00:15,4,-2.5,-0.347,2140.52,87.69,2138.39,87.54,-0.9951,1.4996,0.5045,0.025,Mean Reversion,True
BTCUSDT__SOLUSDT,LONG_SPREAD,2026-05-22 01:09,2026-05-22 01:10,0,-3.335,-3.672,77641.9,87.59,77641.9,87.63,0.0,-0.4024,-0.4024,-0.02,Stop Loss,False
BTCUSDT__SOLUSDT,LONG_SPREAD,2026-05-22 01:10,2026-05-22 01:10,0,-3.672,-3.597,77641.9,87.63,77641.9,87.64,0.0,-0.1,-0.1,-0.005,Stop Loss,False
ETHUSDT__SOLUSDT,LONG_SPREAD,2026-05-22 01:12,2026-05-22 01:14,1,-2.038,-0.463,2137.04,87.59,2137.41,87.53,0.1731,0.6855,0.8586,0.043,Mean Reversion,True
BTCUSDT__SOLUSDT,LONG_SPREAD,2026-05-22 01:10,2026-05-22 01:22,12,-3.597,-0.455,77641.9,87.64,77716.0,87.72,0.9544,-0.7955,0.1589,0.008,Mean Reversion,True
BTCUSDT__ETHUSDT,LONG_SPREAD,2026-05-22 00:16,2026-05-22 01:23,66,-2.568,-0.314,77674.0,2137.65,77797.99,2143.46,1.5963,-1.7541,-0.1579,-0.008,Mean Reversion,False
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 01:22,2026-05-22 01:23,0,2.16,3.83,2141.37,87.72,2144.25,87.81,-1.3449,0.5207,-0.8242,-0.041,Stop Loss,False
