Entry Date,Exit Date,Entry Price,Exit Price,Profit,Return %,Stock
2016-08-03,2016-08-14,566.35498046875,570.4730224609375,324.60768560947326,0.32460768560947323,BTC-USD
2016-09-03,2016-09-11,598.2119750976562,606.718994140625,1020.092322776065,1.0167917386457785,BTC-USD
2016-09-23,2016-10-19,602.8419799804688,630.52001953125,4229.4313440331025,4.1733128063758125,BTC-USD
2016-10-22,2016-10-30,657.2940063476562,701.864013671875,6708.324471992382,6.354136554151907,BTC-USD
2016-11-01,2016-11-03,729.7930297851562,688.7000122070312,-6745.791106595949,-6.007876348149275,BTC-USD
2016-11-16,2016-11-20,744.197998046875,731.0260009765625,-2282.215521416976,-2.1624859261178906,BTC-USD
2016-12-01,2016-12-05,756.7739868164062,758.7000122070312,-150.86744787373755,-0.14611229738563206,BTC-USD
2016-12-20,2016-12-24,800.8759765625,898.822021484375,12147.038920188046,11.781393734521641,BTC-USD
2016-12-28,2017-01-05,975.9210205078125,1013.3800048828125,3945.4705764908285,3.4233833653981547,BTC-USD
2017-01-17,2017-02-09,907.93798828125,994.3829956054688,10827.033287236321,9.083379475056427,BTC-USD
2017-02-20,2017-03-07,1079.97998046875,1223.5400390625,16695.133299703666,12.840126215808931,BTC-USD
2017-03-21,2017-03-22,1120.5400390625,1049.1400146484375,-9897.71277533911,-6.746067545773917,BTC-USD
2017-04-06,2017-04-13,1182.6800537109375,1169.280029296875,-2090.7470570369915,-1.5280943780548242,BTC-USD
2017-04-24,2017-05-12,1250.1500244140625,1724.239990234375,50350.555775785586,37.37150691480486,BTC-USD
2017-05-22,2017-06-12,2173.39990234375,2659.6298828125,40500.878245636704,21.882861913454192,BTC-USD
2017-07-17,2017-09-02,2228.409912109375,4578.77001953125,236074.03605445795,104.65145257841438,BTC-USD
2017-09-15,2017-10-24,3637.52001953125,5526.64013671875,236954.53082702303,51.327158425969785,BTC-USD
2017-10-29,2017-11-06,6153.85009765625,7022.759765625,95456.29948846018,13.663750442435326,BTC-USD
2017-11-13,2017-12-22,6559.490234375,13831.7998046875,873666.2091503586,110.02436836435996,BTC-USD
2017-12-26,2018-01-11,16099.7998046875,13405.7998046875,-284612.8898951728,-17.065861745806128,BTC-USD
2018-02-17,2018-03-06,11112.7001953125,10779.900390625,-46782.6704184406,-3.3824028367739687,BTC-USD
2018-03-11,2018-03-14,9578.6298828125,8269.8095703125,-187206.88634326472,-14.008960445906357,BTC-USD
2018-04-12,2018-04-25,7889.25,8845.740234375,134171.50332439947,11.675921746660816,BTC-USD
2018-05-03,2018-05-11,9743.8603515625,8441.490234375,-175969.46775289136,-13.712248164043197,BTC-USD
2018-05-29,2018-06-10,7472.58984375,6786.02001953125,-105758.26188660378,-9.55072839724659,BTC-USD
2018-06-14,2018-06-22,6675.35009765625,6083.68994140625,-92420.60488676676,-9.22753971319242,BTC-USD
2018-06-29,2018-07-10,6218.2998046875,6329.9501953125,12625.756131145521,1.3887382782578763,BTC-USD
2018-07-16,2018-07-31,6741.75,7780.43994140625,137765.9602440521,14.945664010092209,BTC-USD
2018-09-21,2018-10-11,6734.9501953125,6256.240234375,-79243.81908334536,-7.479044125146511,BTC-USD
2018-10-15,2018-10-29,6596.5400390625,6332.6298828125,-42979.81508130685,-4.384349121646851,BTC-USD
2018-11-28,2018-12-21,4257.419921875,3896.543701171875,-82879.19640712801,-8.842134819701265,BTC-USD
2018-12-28,2019-01-10,3923.918701171875,3678.924560546875,-56549.1834518949,-6.618259524372605,BTC-USD
2019-01-14,2019-01-20,3706.05224609375,3601.013671875,-25712.242105937563,-3.2225186511453487,BTC-USD
2019-02-08,2019-02-24,3666.7802734375,3810.427490234375,27043.888407355174,3.502275537920562,BTC-USD
2019-03-05,2019-03-25,3896.375,3963.070556640625,10432.22326304263,1.305293425203918,BTC-USD
2019-03-27,2019-04-11,4087.066162109375,5064.48779296875,189620.19779328431,23.419829767195644,BTC-USD
2019-04-23,2019-04-25,5572.3623046875,5210.515625,-68622.80906345672,-6.867247303770937,BTC-USD
2019-05-03,2019-05-17,5768.28955078125,7343.8955078125,249473.05337137752,26.806208963151096,BTC-USD
2019-05-19,2019-06-03,8197.689453125,8208.9951171875,-3094.7449481883086,-0.26223828736994775,BTC-USD
2019-06-14,2019-06-27,8693.8330078125,11182.806640625,330924.7952713168,28.11518389276701,BTC-USD
2019-06-28,2019-06-30,12407.33203125,10817.1552734375,-198519.73763521505,-13.16481340364838,BTC-USD
2019-07-31,2019-08-14,10085.6279296875,10051.7041015625,-9619.3105249668,-0.7346140293035599,BTC-USD
2019-08-19,2019-08-21,10916.0537109375,10138.0498046875,-97463.91096382798,-7.498273414039781,BTC-USD
2019-09-02,2019-09-23,10346.7607421875,9729.32421875,-76267.63168681087,-6.343192032455064,BTC-USD
2019-10-07,2019-10-11,8245.623046875,8321.7568359375,5856.033422284527,0.5200340653741753,BTC-USD
2019-10-20,2019-10-23,8222.078125,7514.671875,-101523.47066463763,-8.968959764201935,BTC-USD
2019-10-25,2019-11-08,8660.7001953125,8804.880859375,12967.996245737537,1.2585167214012383,BTC-USD
2019-11-10,2019-11-11,9055.5263671875,8757.7880859375,-38338.00008792174,-3.6743794777856587,BTC-USD
2019-12-18,2020-01-02,7276.802734375,6985.47021484375,-44093.31480117282,-4.387180334045233,BTC-USD
2020-01-03,2020-02-10,7344.88427734375,9856.611328125,323464.50581144996,33.66070776009795,BTC-USD
2020-02-11,2020-02-15,10208.236328125,9889.4248046875,-45085.73902260885,-3.5102015023867215,BTC-USD
2020-02-18,2020-02-19,10141.99609375,9633.38671875,-66855.21715955622,-5.39444487328563,BTC-USD
2020-03-19,2020-04-10,6191.19287109375,6865.4931640625,122502.52147361822,10.448160730145013,BTC-USD
2020-04-16,2020-04-20,7116.80419921875,6881.95849609375,-47736.779408157105,-3.6862895469878176,BTC-USD
2020-04-23,2020-05-10,7429.724609375,8756.4306640625,216843.2420433527,17.385777073405777,BTC-USD
2020-05-28,2020-06-02,9525.7509765625,9529.8037109375,-5230.088951334124,-0.35722497194848046,BTC-USD
