lb,rp,top_n,cagr,sharpe,max_dd,final_val
1,1,1,0.07126653411896644,0.05969416098588695,-0.5808375627661079,292350.135795198
1,1,2,,,-0.057469979234040076,
1,2,1,0.10656777418999885,0.2292780115607382,-0.5150215229258268,484533.84715238423
1,2,2,0.11664328462241413,0.35673958821157664,-0.4629168419733754,558042.117239987
1,3,1,0.13398681561474013,0.3978487987030025,-0.43220613465305213,709536.5110701973
1,3,2,0.10462422441618369,0.3101331999291437,-0.3608165957430072,471440.55701962486
1,4,1,0.11219641973365424,0.29125786896537037,-0.3800788124767548,524398.6858795108
1,4,2,0.13732899848191615,0.5368768852099091,-0.345544638144477,742834.2501570905
1,5,1,0.13137021267466453,0.358595329720192,-0.4372326393500908,684448.1201388702
1,5,2,0.14529065088001825,0.6138659169405628,-0.21965896815401395,828138.9929785796
1,6,1,0.18882463895386614,0.6797325628197352,-0.415236142022747,1481104.4173790659
1,6,2,0.14931861859901718,0.6134362630996592,-0.3076216875304283,874708.9243690101
1,8,1,0.16697398875849312,0.5891169925628555,-0.3399290131468816,1109268.4442694557
1,8,2,0.17812099590678643,0.7555679003751519,-0.34382487972956244,1286399.5424875016
1,12,1,0.17811624655288583,0.6292614168215254,-0.3532216325489025,1286318.731929041
1,12,2,0.15527513566563167,0.6101037124126677,-0.28361206774933173,948086.3507336332
2,1,1,0.12866279194250763,0.38129576819188693,-0.3435843635215654,659364.5232127472
2,1,2,0.12041565895167361,0.428454776387122,-0.23496696753569726,588155.3669177154
2,2,1,0.14719763611301273,0.47178889932211465,-0.34008537045668474,849889.8189715126
2,2,2,0.13855090474630183,0.5045748170711232,-0.41193638549529726,755368.8219622275
2,3,1,0.1687283308163785,0.5944592345289869,-0.22729512235178187,1135541.8907749022
2,3,2,0.15401254210968007,0.6112091943408036,-0.31958953689507374,932067.5929218973
2,4,1,0.17392421408338388,0.674861493711312,-0.3010404719692193,1216814.2297613788
2,4,2,0.14039592902643694,0.5867052802025292,-0.2988516384680193,774671.077585149
2,5,1,0.1974294683201765,0.7203805716985279,-0.3552961818936385,1657276.3239391884
2,5,2,0.14323309924120453,0.5507518282367351,-0.3581811399588261,805255.6999475387
2,6,1,0.24582642675972433,1.002921807909827,-0.22729512235178187,3072887.418485801
2,6,2,0.2038909726665028,0.9309237063243361,-0.28361206774933173,1802256.2667607977
2,8,1,0.21476347875481872,0.9167686800999548,-0.2521125219993946,2073302.8253689266
2,8,2,0.1668257208869326,0.8072757442085308,-0.13833958859509074,1107074.2221038043
2,12,1,0.23148269465712845,0.9232374993472207,-0.22729512235178187,2565514.9467933914
2,12,2,0.18992717880943544,0.818978449939959,-0.2836120677493318,1502655.1394979246
3,1,1,0.1753402110883775,0.6215081723528338,-0.2677337105213833,1239888.6452447863
3,1,2,0.16719510320408393,0.7477328898296756,-0.17967089864944916,1112548.2874677044
3,2,1,0.169155498966149,0.5640497765807483,-0.4235451179637475,1142026.8405960777
3,2,2,0.13890703881366928,0.48518822237526216,-0.3767714865354966,759059.2037326259
3,3,1,0.18678455851270614,0.6468346061165414,-0.33992901314688156,1441988.861076935
3,3,2,0.14832867250905157,0.5588871931576622,-0.3223564887560689,863041.6480118231
3,4,1,0.1360882959855465,0.40565692486103205,-0.40292481802126345,730306.225705626
3,4,2,0.12368441625991422,0.4047144214388675,-0.3716135945689862,615471.4484856969
3,5,1,0.19166347764309521,0.7358585117763503,-0.21779872780526563,1537189.4258768687
3,5,2,0.16729290369183247,0.7604256911025253,-0.18578119983991784,1114001.8782393695
3,6,1,0.18920675645365326,0.6693752763699997,-0.33992901314688156,1488540.4848436401
3,6,2,0.15338877902290737,0.5878343935863488,-0.3223564887560688,924247.6054758516
3,8,1,0.1504614684840484,0.5428485337665636,-0.2521125219993946,888361.8061657917
3,8,2,0.1538011124838754,0.7461532433043728,-0.1264632343215904,929410.0334636648
3,12,1,0.16584558930501503,0.561426741844827,-0.3399290131468816,1092671.0744540808
3,12,2,0.16445299168374072,0.62509351670309,-0.3223564887560689,1072508.0458494113
4,1,1,0.190016586318432,0.7133593443410645,-0.3121524847120816,1504415.5390390868
4,1,2,0.15488313417067046,0.6862211239030176,-0.23366810082187495,943085.5867733868
4,2,1,0.1925123391450112,0.6624833035501492,-0.38824421726185365,1554341.9540248003
4,2,2,0.14687568908679194,0.5549909341687653,-0.3672223631733236,846180.6153301916
