Mode,Threshold,Win Rate %,Total Trades,Final Capital,Sharpe,Max Drawdown %,Binomial p‑value
HFT,0.5,35.82,1597,1247807.23,0.88,-53.22,1.0
HFT,0.55,35.75,1597,1199989.0,1.0,-47.82,1.0
HFT,0.6000000000000001,35.15,1593,879248.87,0.88,-47.82,1.0
HFT,0.6500000000000001,36.24,1584,1948910.22,1.04,-49.47,1.0
HFT,0.7000000000000002,36.65,1536,1999827.55,0.65,-70.59,1.0
HFT,0.7500000000000002,36.82,1347,1279516.41,0.84,-57.15,1.0
HFT,0.8000000000000003,36.31,661,397436.69,0.89,-39.27,0.999999999999476
HFT,0.8500000000000003,51.06,47,129425.92,0.48,-13.01,0.4999999999999999
HFT,0.9000000000000004,0.0,0,100000.0,0.0,0.0,
HFT,0.9500000000000004,0.0,0,100000.0,0.0,0.0,
UTBOT,0.5,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.55,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.6000000000000001,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.6500000000000001,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.7000000000000002,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.7500000000000002,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.8000000000000003,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.8500000000000003,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.9000000000000004,32.61,1613,232205.68,0.39,-65.67,1.0
UTBOT,0.9500000000000004,32.61,1613,232205.68,0.39,-65.67,1.0
HYBRID,0.5,33.38,1543,279655.98,0.44,-58.78,1.0
HYBRID,0.55,33.18,1519,307166.59,0.45,-58.11,1.0
HYBRID,0.6000000000000001,33.31,1429,300980.76,0.47,-55.9,1.0
HYBRID,0.6500000000000001,35.2,1179,426744.25,0.48,-61.54,1.0
HYBRID,0.7000000000000002,35.29,901,336327.77,0.49,-55.59,1.0
HYBRID,0.7500000000000002,34.72,386,179908.56,0.72,-18.63,0.9999999994869233
HYBRID,0.8000000000000003,45.61,57,120832.0,0.68,-4.36,0.7864785717483724
HYBRID,0.8500000000000003,0.0,0,100000.0,0.0,0.0,
HYBRID,0.9000000000000004,0.0,0,100000.0,0.0,0.0,
HYBRID,0.9500000000000004,0.0,0,100000.0,0.0,0.0,
